"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"31","31","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/31/foo31.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/31/SVCOMP_0004_merged.c","foo31","arithmeticException1","","","1","A_stronger","A implies all of B's postconditions and additionally states the non-trivial unconditional facts \\result == 1 and \\result == 0 || \\result == 1, which are not present in B.","gpt-5.4"
"23","23","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/23/foo23.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/23/SVCOMP_0202_merged.c","foo23","fun","","","1","A_stronger","A is strictly more informative because it constrains the result to {-1,0,1} and relates the 0/1 cases to strlen(arg) >= 1, while B has no postconditions beyond assigns \\nothing.","gpt-5.4"
"35","35","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/35/foo35.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/35/SVCOMP_0193_merged.c","foo35","fun","","","1","A_stronger","A implies all of B's postconditions and additionally includes the non-trivial biconditional postcondition explicitly characterizing when the result is 1, while B only gives equality to the boolean expression and the 0/1 range.","gpt-5.4"
"33","33","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/33/foo5.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/33/SVCOMP_0006_merged.c","foo5","arithmeticException6","","","1","A_stronger","Given A's precondition denom != 0, B's postconditions imply exactly \\result == 1 on all allowed inputs, while A states that same postcondition directly and thus B adds no stronger input-output fact whereas A is more precise under the verified domain.","gpt-5.4"
"32","32","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/32/foo32.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/32/SVCOMP_0005_merged.c","foo32","arithmeticException5","","","1","A_stronger","A's postcondition fixes the result to 1 unconditionally (making its other ensures redundant), which logically implies all of B's postconditions, while B does not imply A because it still allows result 0.","gpt-5.4"
"98","98","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/98/foo98.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/98/SpecGenBench_0284_merged.c","foo98","computeOverlapArea","","","1","incomparable","B is stronger on covered geometric cases because it gives exact conditional formulas for the overlap area, while A instead gives only generic nonnegativity and upper bounds plus stronger preconditions; neither contract’s postconditions logically imply the other’s overall.","gpt-5.4"
"109","109","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/109/foo30.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/109/SpecGenBench_0302_merged.c","foo30","fizzBuzz","","","1","A_stronger","A implies all four case-based postconditions of B via its exact equivalences and explicit formula for \\result, and A additionally states the converse characterization of each return value and restricts the result to exactly {0,3,5,8}, which B does not.","gpt-5.4"
"103","103","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/103/foo103.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/103/SpecGenBench_0295_merged.c","foo103","divisorGame","","","1","A_stronger","A exactly specifies the result as the boolean value of n % 2 == 0, which implies B's two conditional postconditions, while B lacks A's full equality characterization and any equivalent non-trivial additional fact.","gpt-5.4"
"134","134","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/134/foo134.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/134/SpecGenBench_0333_merged.c","foo134","mulNested","","","1","B_stronger","B is stronger because it explicitly ensures the exact functional result \\result == x * y, whereas A provides only loop invariants and no function postcondition characterizing the returned value.","gpt-5.4"
"111","111","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/111/foo111.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/111/SpecGenBench_0306_merged.c","foo111","Inverse","","","1","B_stronger","B gives a complete postcondition relating the return value to the reverse-equality property (including the 0/1 range and no-modification facts), whereas A effectively only supports the success case and lacks an explicit characterization of returning 0.","gpt-5.4"
"116","116","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/116/foo116.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/116/SpecGenBench_0311_merged.c","foo116","isCommonFactor","","","1","A_stronger","A fully characterizes the result with bidirectional conditions for both 1 and 0 (equivalent to result==1 iff both divisible and result==0 iff at least one is not), whereas B only gives one-way case implications and does not state the converse from result to divisibility.","gpt-5.4"
"104","104","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/104/foo104.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/104/SpecGenBench_0296_merged.c","foo104","dominantIndex","","","1","A_stronger","A entails B's meaningful postconditions about a valid returned index being maximal and dominant, and additionally its verified second-loop invariants force that if the function returns an index then every other element satisfies the dominance bound, while B's -1-case postconditions are vacuous and add no comparable non-trivial information.","gpt-5.4"
"108","108","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/108/foo29.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/108/SpecGenBench_0301_merged.c","foo29","fizzBuzz","","","1","A_stronger","A implies all four case-split postconditions of B and additionally states non-trivial converse/equational facts such as the exact formula for \\result and equivalences linking each result value to divisibility conditions, which B does not express.","gpt-5.4"
"96","96","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/96/foo13.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/96/SpecGenBench_0282_merged.c","foo13","computeOverlapArea","","","1","A_stronger","A gives a single exact result formula for all inputs satisfying its mild rectangle-ordering preconditions, whereas B only gives many conditional equalities for some geometric cases and thus A implies B on those cases while also specifying behavior that B leaves uncovered.","gpt-5.4"
"117","117","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/117/foo117.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/117/SpecGenBench_0312_merged.c","foo117","isCommonMultiple","","","1","A_stronger","A fully characterizes the result as exactly the boolean value of '(m % a == 0 && m % b == 0)', which implies all of B's case-split postconditions, while B lacks the converse guarantee that result 1 occurs iff both divisibility conditions hold.","gpt-5.4"
"95","95","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/95/foo95.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/95/SpecGenBench_0281_merged.c","foo95","arrcmp","","","1","B_stronger","B gives substantive postconditions characterizing the result as exactly the equality test over all elements and constraining the return to 0/1, while A only contains loop invariants and no function-level ensures, so B is strictly more informative about input-output behavior.","gpt-5.4"
"97","97","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/97/foo97.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/97/SpecGenBench_0283_merged.c","foo97","computeOverlapArea","","","1","B_stronger","B gives many non-trivial case-split postconditions that determine the returned arithmetic expression for broad classes of inputs, while A has effectively no meaningful ensures at all and only weak geometric preconditions.","gpt-5.4"
"118","118","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/118/foo118.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/118/SpecGenBench_0313_merged.c","foo118","isCommonMultiple","","","1","A_stronger","A fully characterizes the result with bidirectional postconditions (result is 1 iff both divisibility tests hold, and 0 iff at least one fails), whereas B only gives one-way implications to the result and does not state that result 1 implies common divisibility.","gpt-5.4"
"119","119","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/119/foo119.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/119/SpecGenBench_0314_merged.c","foo119","isDescending","","","1","equal","Both specifications effectively capture the same substantive behavior via equivalent loop invariants that the scanned prefix is strictly decreasing, while A is mostly redundant repetitions and B only adds non-functional or frame facts not making the input-output characterization stronger.","gpt-5.4"
"115","115","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/115/foo115.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/115/SpecGenBench_0310_merged.c","foo115","isCommonFactor","","","1","A_stronger","A fully characterizes the result with a bidirectional equivalence (including the exact 0/1 mapping and the converse of B’s implication), whereas B only gives case-split one-way implications and lacks the explicit iff characterization.","gpt-5.4"
"135","135","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/135/foo135.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/135/SpecGenBench_0334_merged.c","foo135","power","","","1","B_stronger","B precisely specifies the result as ipow(x,n) via both loop invariant and postcondition, while A only gives weak/trivial facts such as nonzeroness and simple bounds that do not imply the exact exponentiation behavior.","gpt-5.4"
"113","113","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/113/foo113.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/113/SpecGenBench_0308_merged.c","foo113","isAscending","","","1","A_stronger","A’s loop invariants entail that if the function reaches the final return 1 then all adjacent pairs satisfy arr[k] < arr[k+1] for 0 <= k < arr_len-1, which is a non-trivial post-state fact absent from B, while B’s postconditions only guarantee one direction for returning 0 and trivial range facts for the result.","gpt-5.4"
"101","101","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/101/foo20.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/101/SpecGenBench_0292_merged.c","foo20","CopyArray","","","1","incomparable","A states the key copied-segment fact that elements in the processed range satisfy a[u]==b[u] (yielding at exit that a[iBegin..iEnd-1] equals b there), while B instead states preservation of all elements outside [iBegin,iEnd) via \\\\old(a[j]) and A does not express that relation to the pre-state.","gpt-5.4"
"105","105","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/105/foo105.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/105/SpecGenBench_0298_merged.c","foo105","fibCompute","","","1","incomparable","A provides stronger loop characterization of the whole computed prefix (base values, recurrence and monotonic/nonnegative properties for all filled indices), while B uniquely ties the last two computed entries to the abstract Fibonacci function fibo, and neither set of facts logically implies the other as written.","gpt-5.4"
"99","99","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/99/foo99.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/99/SpecGenBench_0285_merged.c","foo99","computeOverlapArea","","","1","incomparable","A gives a concise general characterization plus non-negativity under rectangle-order preconditions, while B gives many conditional exact-result cases over a broader input space without those preconditions, so each contains facts the other lacks and neither contract implies the other.","gpt-5.4"
"128","128","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/128/foo51.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/128/SpecGenBench_0324_merged.c","foo51","isLeapYear","","","1","A_stronger","A gives a full bi-conditional characterization of both result values in terms of the leap-year predicate, which implies all four case-based implications in B, while B does not state the converse directions explicitly.","gpt-5.4"
"129","129","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/129/foo129.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/129/SpecGenBench_0325_merged.c","foo129","isLeapYear","","","1","A_stronger","A gives a complete iff characterization of both \\result==1 and \\result==0 for all inputs, which implies all four case-based implications in B, while B lacks the converse/exhaustive equivalences stated in A.","gpt-5.4"
"110","110","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/110/foo31.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/110/SpecGenBench_0303_merged.c","foo31","gcd","","","1","A_stronger","Both specs agree on the zero-input cases and the positive-input range bounds, but A additionally specifies via loop invariants that the final result divides both normalized inputs and is at least every common divisor seen so far (hence characterizing greatest-common-divisor behavior), facts absent from B's contract.","gpt-5.4"
"34","34","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/34/foo34.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/34/SVCOMP_0026_merged.c","foo34","divS32","","","1","A_stronger","A implies B by giving the same case split behavior (including denominator==0 saturation and denominator!=0 division result/sign), and additionally A states extra non-trivial facts such as the exact relation \\result == numerator / denominator for denominator != 0 and the explicit disjunction/sign characterization of the result.","gpt-5.4"
"94","94","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/94/foo10.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5.4-mini/94/SpecGenBench_0278_merged.c","foo10","canWinNim","","","1","A_stronger","A fully characterizes the result with bidirectional equivalences (including ruling out cases like result 0 when n%4!=0 or result 1 when n%4==0), whereas B only gives one-way implications from the input condition to the result.","gpt-5.4"
