tool,model,case_id,status,source_dir,score,valid_pass,note
SESpec,gpt-4o,0,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/0/20260517_202641_1000147_a901527c,0,False,foo0
SESpec,gpt-4o,1,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/1/20260521_165109_84201_8ac9fbc3,4,True,foo1
SESpec,gpt-4o,2,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/2/20260517_202641_1000147_796aa10e,2,True,foo2
SESpec,gpt-4o,3,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/3/20260521_165109_84201_686db9f8,2,True,foo3
SESpec,gpt-4o,4,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260514_215427_input_sespec_4variants_3models/sespec_default/sespec/gpt-4o/4/20260514_215427_198411_92c431e1,2,True,foo25
SESpec,gpt-4o,5,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/5/20260517_202641_1000147_1d2fc8cb,0,False,foo5
SESpec,gpt-4o,6,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/6/20260521_165109_84201_52dc4ef9,0,False,foo6
SESpec,gpt-4o,7,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/7/20260521_165109_84201_bca715e8,2,True,foo7
SESpec,gpt-4o,8,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/8/20260521_165109_84201_761df2f0,0,False,foo8
SESpec,gpt-4o,9,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/9/20260517_202641_1000147_cc0ed113,0,False,foo9
SESpec,gpt-4o,10,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/10/20260521_165139_84201_7d6f2a6a,3,True,foo10
SESpec,gpt-4o,11,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/10/20260521_165139_84201_7d6f2a6a,3,True,foo10
SESpec,gpt-4o,12,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/10/20260521_165139_84201_7d6f2a6a,3,True,foo10
SESpec,gpt-4o,13,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/13/20260521_165232_84201_8a28f7e9,0,False,foo13
SESpec,gpt-4o,14,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/14/20260517_202641_1000147_0703a8f7,0,False,foo14
SESpec,gpt-4o,15,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/15/20260521_165311_84201_76b692ca,4,True,foo15
SESpec,gpt-4o,16,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/16/20260521_165319_84201_0c605d7d,0,False,foo16
SESpec,gpt-4o,17,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/17/20260521_165339_84201_c79f5cb1,0,False,foo17
SESpec,gpt-4o,18,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/18/20260521_165402_84201_b2fab50c,2,True,foo18
SESpec,gpt-4o,19,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/19/20260517_202641_1000147_3b208dc1,0,False,foo19
SESpec,gpt-4o,20,no_match,,0,False,
SESpec,gpt-4o,21,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/21/20260521_165422_84201_00203264,0,False,foo21
SESpec,gpt-4o,22,no_match,,0,False,
SESpec,gpt-4o,23,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/23/20260521_165609_84201_f8c2715a,0,False,foo23
SESpec,gpt-4o,24,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/24/20260521_165704_84201_1c7382e6,0,True,foo24
SESpec,gpt-4o,25,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/25/20260521_165747_84201_e5a48d3f,0,True,foo25
SESpec,gpt-4o,26,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/26/20260521_165811_84201_4fe23560,0,True,foo26
SESpec,gpt-4o,27,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/27/20260521_165825_84201_0b7349bf,0,True,foo27
SESpec,gpt-4o,28,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260521_165109_sespec400_strengthened_3models/sespec_default/sespec/gpt-4o/28/20260521_165837_84201_6958e57e,4,True,foo28
SESpec,gpt-4o,29,no_match,,0,False,
SESpec,gpt-4o,30,no_match,,0,False,
SESpec,gpt-4o,31,matched,/home/yangfp/SESpec/src/results/matrix_runs/20260517_202641_sespec400_gpt4o_fails_rerun/sespec_default/sespec/gpt-4o/31/20260517_202919_1000147_97a2bcc8,2,True,foo31
