"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"33","33","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/33/foo5_c33.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/33/sespec_0033_merged.c","foo5_c33","arithmeticException6","","","1","equal","Both contracts state exactly the same two postconditions relating denom to the result and the same assigns clause, with A's requires \\true adding no substantive information.","gpt-5.4"
"61","61","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/61/foo234_c60.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/61/sespec_0061_merged.c","foo234_c60","foo247","","","1","B_stronger","B includes A's invariant 0 <= j and adds substantive bounds and constancy facts—such as conditional j <= idBitLength/8, j <= material_length, and preservation of nlen/material_length/idBitLength—that A does not express.","gpt-5.4"
"2","2","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/2/foo22_c2.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/2/sespec_0002_merged.c","foo22_c2","fibonacci","","","1","B_stronger","B's postcondition fully defines the result as fib(n), which implies A's case-specific facts and nonnegativity while adding precise behavior for all n>=0, whereas A does not characterize values for n>=2.","gpt-5.4"
"57","57","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/57/foo229.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/57/sespec_0057_merged.c","foo229","foo241","","","1","B_stronger","B adds non-trivial loop invariants about count being nonnegative and multFactor being restricted to ±1 after count reaches 3, while A only gives loop assigns clauses and thus B strictly contains more behavioral information.","gpt-5.4"
"12","12","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/12/foo42_c12.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/12/sespec_0012_merged.c","foo42_c12","recursion","","","1","equal","A’s two complete and disjoint behaviors jointly specify exactly the same postcondition as B’s single ensures clause—namely result 0 for i<0 and 1 otherwise—with no additional non-trivial input-output fact on either side.","gpt-5.4"
"47","47","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/47/foo122.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/47/sespec_0047_merged.c","foo122","foo145","","","1","A_stronger","A implies all of B's loop invariants via lo+mid==Pre, hi+lo==2*Pre, and lo>=0, and additionally states non-trivial facts absent from B such as hi-lo==2*mid, hi<=2*Pre, and mid<=Pre.","gpt-5.4"
"17","17","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/17/foo9.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/17/sespec_0017_merged.c","foo9","func","","","1","equal","Both contracts specify the same functional input-output behavior—result is 0 exactly for out-of-range indices and 1 exactly for indices in [0,3]—and B's complete/disjoint behaviors add no extra functional fact beyond A's two implications.","gpt-5.4"
"53","53","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/53/foo213_c53.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/53/sespec_0053_merged.c","foo213_c53","foo227","","","1","A_stronger","A includes B's invariant x % 5 == 0 and additionally states multiple non-trivial facts such as x <= 100 and parity-dependent sign/multiplicity properties of x that are not present in B.","gpt-5.4"
"45","45","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/45/foo117_c42.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/45/sespec_0045_merged.c","foo117_c42","foo143","","","1","B_stronger","B includes A's key equalities for x1, x3, and nonnegativity of t under the only reachable looping case, and additionally specifies nontrivial bounds on x2 and v2, constancy of v1/v3, and the no-loop case, while A lacks those facts.","gpt-5.4"
"52","52","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/52/foo169_c52.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/52/sespec_0052_merged.c","foo169_c52","foo188","","","1","incomparable","A includes facts not in B such as x <= w, 10*x <= z, and |y| <= 100*w, while B includes facts not in A such as 0 <= y and evenness of y - 2*x; neither set of invariants implies the other.","gpt-5.4"
"5","5","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/5/foo27_c5.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/5/sespec_0005_merged.c","foo27_c5","f","","","1","equal","Both contracts specify the same functional postcondition for all inputs—result is n-10 when n>100 and 91 otherwise—and B's extra logic definition, redundant ensures, precondition, and decreases clause do not add stronger input-output facts.","gpt-5.4"
"62","62","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/62/foo234_c60.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/62/sespec_0062_merged.c","foo234_c60","foo248","","","1","B_stronger","B includes A's invariant 0 <= j and adds non-trivial preserved facts such as upper bounds on j and stability of idBitLength, material_length, and nlen, so B strictly implies A while expressing more information.","gpt-5.4"
"35","35","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/35/foo39_c35.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/35/sespec_0035_merged.c","foo39_c35","fun","","","1","B_stronger","B is stronger because it includes the non-trivial postcondition that the result is always boolean (0 or 1), while A provides no postcondition at all, so B's facts imply A's but not conversely.","gpt-5.4"
"39","39","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/39/foo117_c42.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/39/sespec_0039_merged.c","foo117_c42","foo137","","","1","B_stronger","B implies all of A's loop facts and additionally specifies non-trivial bounds/constancy facts for x2, v2, v1, v3 and the no-entry case when the initial guard is false, which A does not.","gpt-5.4"
"42","42","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/42/foo117_c42.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/42/sespec_0042_merged.c","foo117_c42","foo140","","","1","parse_error","{""verdict"":""B_stronger"",""reason"":""B includes all substantive facts of A on the executing-loop case (the same equalities for x1, x3, and t>=0, modulo \\at(.,Pre)) and additionally specifies bounds on x2","gpt-5.4"
"46","46","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/46/foo117_c42.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/46/sespec_0046_merged.c","foo117_c42","foo144","","","1","B_stronger","B implies all of A's loop invariants after accounting for unchanged v1 and v3, and B adds non-trivial facts absent from A including bounds on x2 and v2, preservation of v1/v3, and the no-entry case characterizing all variables when the loop is initially skipped.","gpt-5.4"
"3","3","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/3/foo24_c3.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/3/sespec_0003_merged.c","foo24_c3","gcd","","","1","B_stronger","Under the common positive-input case both specify a positive result, but B additionally fixes the exact returned value via equality to the recursive specification function, while A only distinguishes positive vs non-positive inputs and says nothing comparably precise for positive inputs.","gpt-5.4"
"43","43","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/43/foo117_c42.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/43/sespec_0043_merged.c","foo117_c42","foo141","","","1","B_stronger","B includes all substantive facts from A about x1, x3, and t (under the only relevant case where the loop executes) and adds non-trivial invariants about x2, v2, unchanged v1/v3, and the no-entry case that A does not express.","gpt-5.4"
"60","60","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/60/foo234_c60.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5/60/sespec_0060_merged.c","foo234_c60","foo246","","","1","B_stronger","B includes all of A's essential loop-bound facts about j (up to slightly different but sufficient guards) and additionally specifies preservation of nlen, material_length, and idBitLength and the special case that j remains 0 when the positive-bound precondition fails, which A does not.","gpt-5.4"
