sespec_case_id,judge_verdict,fc_verdict,postcond,loop_details,n_loops_A,n_loops_B,harness_dir
1,equal,B_stronger,AB=failed(4/5) BA=proved(5/5),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/1
2,B_stronger,incomparable,AB=failed(7/8) BA=failed(7/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/2
3,A_stronger,B_stronger,AB=failed(4/10) BA=proved(7/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/3
4,incomparable,inconclusive,AB=error(0/0) BA=error(0/0),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/4
7,incomparable,inconclusive,AB=error(0/0) BA=error(0/0),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/7
10,A_stronger,incomparable,AB=failed(6/9) BA=failed(6/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/10
11,equal,incomparable,AB=failed(6/8) BA=failed(6/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/11
12,equal,incomparable,AB=failed(6/8) BA=failed(5/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/12
23,A_stronger,incomparable,AB=failed(5/7) BA=failed(7/8),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/23
31,A_stronger,A_stronger,AB=proved(7/7) BA=failed(6/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/31
32,A_stronger,incomparable,AB=failed(5/6) BA=failed(6/7),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/32
33,A_stronger,A_stronger,AB=proved(4/4) BA=failed(5/6),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/33
34,A_stronger,A_stronger,AB=proved(8/8) BA=failed(9/16),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/34
35,A_stronger,A_stronger,AB=proved(6/6) BA=failed(5/6),,0,0,/home/yangfp/SESpec/RESULTS/paper_data/judge_verify_5.4/harness/35
