case_id,verdict,reason
1,B_stronger,"B includes all of A’s functional postcondition and additionally specifies termination via a decreasing variant, which A lacks."
2,B_stronger,"B precisely specifies the result as the recursive fib(n) function, which entails A’s returned-value facts and adds the nontrivial recurrence-based characterization that A lacks."
3,B_stronger,"B gives a full recursive functional equation characterizing the result for all inputs, which implies A’s split cases and is more informative than A’s only coarse sign-based postconditions."
4,A_stronger,"A specifies an exact functional result for hanoi (esult == 2^n-1) and no side effects, while B only gives a termination measure and a frame condition for the recursive applyHanoi-like function, so A is strictly more informative."
5,equal,"Both contracts specify the same functional mapping: return n-10 when n>100 and 91 otherwise, and B’s extra logical definitions and redundant implication clause do not add any additional input-output behavior beyond A."
12,A_stronger,"A explicitly splits the behavior into disjoint complete cases with exact results for i<0 and i>=0, which logically implies B’s piecewise spec, while B adds no nontrivial output fact beyond the same function mapping."
17,equal,"Both contracts specify the same functional mapping from index ranges to return values, and the extra behavior structure in B is equivalent to A’s guarded postconditions without adding a non-trivial stronger fact."
33,equal,"Both contracts state exactly the same two postconditions over denom and the same frame condition, differing only in syntax and ordering."
34,B_stronger,"B gives the exact branch-wise result for both zero and nonzero denominators, while A only states the normal-case quotient abstractly and the zero-case saturation behavior more weakly."
35,B_stronger,"B precisely specifies the return value as equivalent to the computed expression, while A only states the function is pure and gives no functional postcondition about the result."
37,equal,"Both contracts express the same substantive fact for the relevant function behavior: the function returns 1 and has no side effects, with no additional non-trivial postcondition in either artifact."
38,A_stronger,"A includes concrete unconditional arithmetic invariants for x1, x2, x3, and t that characterize the loop state more directly, while B’s main facts are mostly guarded by the initial v2 range and one relation only mentions x2 algebraically, so A logically entails at least as much and contains addition"
39,B_stronger,"B implies A’s loop facts under the loop condition while also adding extra preservation and exit-state facts (including unchanged v1/v3 and the post-loop initialization snapshot), so B is more informative."
40,B_stronger,"B implies A’s key loop facts about x1, x3, and t, and additionally specifies bounds/parity for v2 and x2 plus initialization behavior when the guard is false, so B is strictly more informative."
41,B_stronger,"B implies A’s loop facts when the loop condition holds and adds extra non-trivial information about parameter stability and the state when the loop condition is false, so B is more informative."
42,A_stronger,"A includes unconditional arithmetic loop invariants for x1, x3, and t, whereas B only states those facts conditionally on the loop guard and adds initial-state preservation facts that A does not, so A implies a strictly more informative set of behaviors."
43,B_stronger,"B implies A’s loop facts on the active path and additionally constrains v1/v3 to remain unchanged and specifies the inactive-path state, while A lacks these extra facts."
44,B_stronger,"B includes A’s key relational invariants for x1, x3, and nonnegativity of t, and additionally constrains v1/v3 and gives a stronger case split tying the loop body state to v2 and x2, while A lacks those extra facts."
45,B_stronger,"B implies the key arithmetic relations from A and adds several extra facts about v1/v3 stability, v2 bounds, x2 growth, and the exit case, so it is strictly more informative."
46,B_stronger,"B implies A’s invariants on the active loop path and additionally tracks more precise bounds on x2, v2, and frame/preservation facts that A lacks."
47,parse_error,"{""verdict"":""A_stronger"",""reason"":""A implies B’s key relation \(mid = \at(mid,Pre) - lo\) and \(hi + lo = 2*\at(mid,Pre)\) while also adding extra nontrivial invariants about hi/lo bounds and algebraic"
49,B_stronger,"B implies A’s key invariants about n, b, i, j, and their relationships while additionally constraining k and splitting behavior by the sign of k, whereas A lacks those extra facts."
50,A_stronger,"A includes all of B’s substantive loop facts about k, parity, i, j, and n, plus additional non-trivial invariants relating i+j, j-i, loop-entry values, and bounds on b, so A logically characterizes the behavior more precisely."
52,A_stronger,A implies all of B’s loop invariants and additionally states the stronger invariant x <= w plus redundant strengthening facts like 10*x <= z and abs(y) <= 100*w that B lacks.
53,A_stronger,"A includes B’s invariant x % 5 == 0 and adds multiple stronger facts relating x to y’s parity and bounds on x, so A logically implies B while being strictly more informative."
54,A_stronger,"A includes the parity-dependent postcondition facts about x that B lacks, while B’s extra tautologies and initialization-like invariants do not add meaningful behavior beyond A’s contract."
55,B_stronger,"B implies all of A’s loop facts and adds extra non-trivial constraints relating the guard x<y/x to sq(x)<=y and a stronger conditional invariant for y>=3, so B is more informative."
57,B_stronger,"B includes explicit loop invariants capturing count non-negativity and the sign restriction on multFactor for count>=3, while A provides only frame information and no additional behavioral facts."
59,parse_error,"{""verdict"":""incomparable"",""reason"":""A has the stronger invariant that \(y\) is always 0 or 1, while B has the stronger implication relating \(x % 3\) to \(y == 1\); neither set of loop invariants logi"
60,B_stronger,"B implies A’s basic facts about j being initialized and bounded by the loop limits, and B additionally states the exact min-based bound plus preservation of inputs/nlen, which A does not."
61,B_stronger,"B includes all of A’s loop fact about 0 <= j and adds several non-trivial invariants relating j to the bounds and preserving parameter values, so B logically characterizes the behavior more precisely."
62,B_stronger,"B includes all of A’s loop-invariant fact and additionally states the upper bounds on j throughout the loop, which are non-trivial and make its functional behavior more precise."
63,B_stronger,"B’s invariants are more informative because they include the relational post-conditions j - i == 1 and b - (a + j - i) == -1 (equivalently b == a), which imply A’s invariants, while A only adds redundant variants like a == i/2 and nonnegative bounds."
64,A_stronger,"A implies all of B’s loop invariants and additionally states several non-trivial redundant-but-informative consequences such as j==a+1, i-j==a, i%2==1, and the stronger set of equivalent formulas for b, so A is strictly more informative."
65,A_stronger,"A includes all of B’s substantive loop facts and adds extra invariants relating the loop state to k (including the k<0 case and bounds on i/n), so A more precisely characterizes the behavior."
66,parse_error,"{""verdict"":""A_stronger"",""reason"":""A includes all of B’s substantive loop facts up to the ignored Pre/LoopEntry naming difference, and additionally states extra invariants such as x % 4 == 0, x <= \at("
67,A_stronger,"A includes all of B’s essential invariants up to logical consequence and adds several non-trivial stronger facts such as i == j + k, j == k or j == k + 3, and parity-based relations that B does not express."
68,B_stronger,"B implies the basic counting/parity relations in A and adds stronger, more explicit characterization via evens/odds, the bound 0 <= l <= n, and preservation of n, while A lacks those functional summaries."
69,A_stronger,"A implies B’s key facts about the loop state (notably l<=n, i+j+k==l, and nonnegativity/bounds) and additionally states extra invariants such as i==(l+2)/3 and k<=l/j<=l that B does not express."
70,B_stronger,"B implies A’s key invariant facts about nonnegative counters and the sum relation, and additionally states stronger bounds and initialization/parameter-preservation properties that A lacks."
71,B_stronger,"B and A share the same core invariant facts, but B is at least as informative overall and includes the more precise combined bounds and canonicalized loop invariants, while A only adds redundant split positivity clauses rather than any genuinely stronger behavioral fact."
72,B_stronger,"B implies the same counter-sum and bounds as A for positive n, and additionally distinguishes the n==0 case with exact initial-state invariants, making it strictly more informative."
73,B_stronger,"B implies A’s loop facts when n>0 and additionally distinguishes the n==0 case with exact zero-valued state preservation, making it more informative overall."
74,A_stronger,"A includes all of B’s loop facts and additionally states several extra invariants relating each counter to l and redundant sum equalities, so A logically implies B while being more informative."
75,A_stronger,A implies B because it contains B’s key loop facts (0 <= l <= n and the total-sum relation) and additionally states many finer-grained bounds and exact equalities for the counters that B lacks.
77,B_stronger,"B implies A’s invariants and additionally constrains z relative to 36*y via 0 <= z - 36*y <= 36 (equivalently 0 <= c <= 36), while A lacks that extra bound."
78,equal,Both contracts state the same substantive loop facts—namely the linear relation between z and y/c and the bound 0<=c<=36—with only trivial differences in syntax and presentation.
80,incomparable,"A and B share the same core invariants about z and c, but A has the extra fact c<=36 and 0<=c separately while B additionally states all inputs remain unchanged, so neither contract’s facts logically imply the other’s."
81,B_stronger,"B includes all of A’s substantive loop facts and additionally preserves the inputs x1, x2, x3, and y unchanged, which A does not state."
91,B_stronger,"B has the same result characterization as A but adds stronger, more specific guarantees about the array contents and stability of inputs through explicit pre-state-based invariants, which A lacks."
92,A_stronger,"A fully specifies the result for division and modulo only when num2 != 0, whereas B weakens those cases to a conditional implication and thus leaves more behaviors unconstrained."
93,equal,"Both contracts describe the same case split over operator with the same output relations (including the num2 != 0 requirement only on the '*' case in A, which is not reflected as a postcondition difference because it is a precondition/behavior assumption), so neither is strictly stronger."
94,equal,"Both contracts specify the same input-output behavior: the result is 0 exactly when n is divisible by 4 and 1 otherwise, with no additional substantive postcondition facts in either contract."
95,B_stronger,"B implies A’s behavioral facts about equal lengths and elementwise equality on success, and additionally constrains the input domain and specifies the failure case, so B is strictly more informative."
96,A_stronger,"A states a general exact overlap-area formula plus a no-overlap consequence for all valid inputs, while B only enumerates many special-case implications for narrower geometric configurations and does not match A’s full functional characterization."
98,B_stronger,"B contains many specific case-split postconditions that characterize the computed overlap area more precisely than A’s single nonnegativity guarantee, so B logically implies A’s observable result constraint while adding substantially more information."
99,A_stronger,"A gives the exact overlap-area formula plus the zero-overlap case, while B is mostly a large disjunctive case split with many redundant or partial conditions and does not more precisely characterize the output than A."
100,A_stronger,"A is strictly stronger because it includes the non-trivial precondition fact requires \true (and same frame/post behavior), while B has no additional functional facts beyond assigns \nothing."
101,A_stronger,"A implies B’s functional effect on unchanged elements and adds the extra factual restriction that the array segment [iBegin..iEnd-1] is copied from b into a via the loop body/invariants, while B only states frame conditions and unchanged-outside-segment behavior."
102,B_stronger,"B includes A’s key nontrivial behavior about the inner accumulation/termination effect via the loop invariants on `num` and `sum`, plus it adds the extra functional fact that negative inputs are returned unchanged, whereas A only gives local arithmetic bounds and no explicit input-output postconditi"
103,A_stronger,"A implies B because A specifies the exact boolean result, equivalently tying result to parity, while B only gives the two directional implications; A also includes extra non-trivial facts like the result range and explicit disjunction."
104,parse_error,"{""verdict"":""B_stronger"",""reason"":""B has the same core argmax and double-violation behavior as A, but also gives a precise postcondition that the non-\-1 result satisfies the double-check condition, ma"
105,B_stronger,"B provides a complete functional postcondition for all inputs via fibval and explicit cases for n<0, n==0, and n>0, whereas A only exposes loop facts about the internal array and lacks an equivalent result characterization."
108,A_stronger,"A entails the same case split as B but also adds the explicit range constraint on the result and several equivalent characterizations, so A contains strictly more informative postconditions."
109,equal,"Both contracts partition the four divisibility cases and specify exactly the same result values for each case, differing only in syntax and ordering."
110,B_stronger,"B states the full gcd postcondition for all input cases and a cleaner, more general loop invariant, while A omits the explicit maximality postcondition and contains mostly redundant invariant clauses."
113,B_stronger,"B includes the same key ascending/descending result facts as A but also adds stronger input restrictions and a more informative loop bound invariant, while A’s extra loop invariants are redundant variants of the same property."
115,A_stronger,"A fully characterizes the return value with an exact iff relation to both divisibility tests (and includes range facts), while B only gives one-way implications that are weaker and incomplete."
116,A_stronger,"A fully characterizes the return value as exactly the common-factor test and also constrains the result to the boolean range, while B only gives one-directional case splits and omits the converse/result-range facts."
117,A_stronger,"A fully characterizes the return value as exactly the conjunction of the divisibility tests (with bounds on the result), while B only gives one-way case splits that do not state the converse implication when both divisibility tests hold."
118,A_stronger,"A fully characterizes the result as 1 exactly when m is divisible by both a and b, and also states the result is always in {0,1}, whereas B only gives one-directional cases implying 0/1 behavior but not the full equivalence."
119,B_stronger,"B specifies both directions of the return-value characterization and explicit memory preservation, while A only gives partial loop invariants and a one-way fact sufficient for correctness but less informative."
120,A_stronger,"A gives the key behavioral postcondition via loop invariants that characterize when inc and dec encode nondecreasing/nonincreasing prefixes and thus the returned monotonicity test, while B mostly states framing/value preservation and only the trivial result range."
121,B_stronger,"B includes all of A’s behavioral content about the loop and return value, and additionally states preservation of the input array range and explicit stability of n/bits across the loop, so it is strictly more informative."
128,A_stronger,A gives the exact iff characterization of leap years plus the explicit codomain — including the converse direction from result to year properties — while B only states case-split implications from year conditions to the result.
129,A_stronger,"A gives an exact bidirectional characterization of the result for leap years plus explicit range bounds on the return value, while B only states one-way case splits, so A logically implies B and contains additional non-trivial facts."
133,A_stronger,"A specifies the swap effect directly via the loop invariants that characterize the `moveZeroes` traversal context, while B only specifies a standalone swap postcondition with many extra preconditions and no richer output behavior than A."
135,B_stronger,"B implies the exact power result via a recursive specification and also states nontrivial loop invariants and overflow/precondition constraints, while A only gives a weaker lower-bound loop invariant and no postcondition."
136,B_stronger,"B includes all of A’s key result facts (notably -1 <= ans and ans < l with ans*square <= x) and additionally characterizes bounds/progress of l and r via the pre-state x, so it is more informative overall."
137,A_stronger,"A fully characterizes the boolean result as exactly equivalent to the divisibility conditions (both directions and exhaustive range facts), while B only gives one-way implications for the two cases and thus is less informative."
138,B_stronger,"B distinguishes the three relevant input cases with separate postconditions, including the fact that if a is not divisible by factor then the result is 1, while A only gives a two-behavior partition that does not explicitly capture the asymmetric case where a is divisible but b is not."
139,A_stronger,"A fully characterizes the boolean result with biconditionals and range constraints, while B only gives one-way case splits, so A logically implies B and contains extra non-trivial information."
140,A_stronger,"A includes the extra non-trivial postcondition 0 <= result and partitions behavior explicitly, while B only states the same case results, so A logically implies B but not conversely."
141,equal,"Both contracts specify the same piecewise return value for n==1, even non-1, and odd non-1 cases, with no additional substantive functional information in either one."
142,B_stronger,"B precisely states the parity-to-result mapping as postconditions, while A has an incorrect behavior-to-result characterization for a function that returns a boolean parity test and therefore does not imply B's contract."
143,A_stronger,"A implies B’s two case-split postconditions and additionally states explicit range bounds on the result plus redundant but nontrivial equivalent formulations, while B only gives the case-split behavior."
144,A_stronger,"A includes all of B’s conditional postconditions and additionally states exact result formula plus parity and range bounds, so A logically implies B while being strictly more informative."
145,A_stronger,"A includes the specific postcondition that the result equals 4 times x (with redundant equivalent forms) and a nonnegative precondition, whereas B only states the sum of four arguments, so A is not implied by B and is more informative for its function."
146,parse_error,"{""verdict"":""A_stronger"",""reason"":""A includes the stronger loop fact n <= \at(n,Pre) in addition to positivity, while B’s extra invariant (!(n % 4 == 0)) ==> \\true is trivial and adds no information, "
