id	source_repo	source_path	translated_c_path
FormalBench_0001	FormalBench	represent/bench/java_flat/FormalBench_0001__FormalBenchHF__diverse__rule_1__GetNumber_llm_2.java	represent/bench/c_flat/FormalBench_0001__FormalBenchHF__diverse__rule_1__GetNumber_llm_2.c
FormalBench_0002	FormalBench	represent/bench/java_flat/FormalBench_0002__FormalBenchHF__diverse__rule_1__GetNumber_llm_1.java	represent/bench/c_flat/FormalBench_0002__FormalBenchHF__diverse__rule_1__GetNumber_llm_1.c
FormalBench_0003	FormalBench	represent/bench/java_flat/FormalBench_0003__FormalBenchHF__diverse__rule_1__GetNumber_llm_0.java	represent/bench/c_flat/FormalBench_0003__FormalBenchHF__diverse__rule_1__GetNumber_llm_0.c
FormalBench_0004	FormalBench	represent/bench/java_flat/FormalBench_0004__FormalBenchHF__base__programs__GetNumber.java	represent/bench/c_flat/FormalBench_0004__FormalBenchHF__base__programs__GetNumber.c
FormalBench_0005	FormalBench	represent/bench/java_flat/FormalBench_0005__FormalBenchHF__diverse__rule_1__MaxProduct_llm_2.java	represent/bench/c_flat/FormalBench_0005__FormalBenchHF__diverse__rule_1__MaxProduct_llm_2.c
FormalBench_0006	FormalBench	represent/bench/java_flat/FormalBench_0006__FormalBenchHF__diverse__rule_1__MaxProduct_llm_1.java	represent/bench/c_flat/FormalBench_0006__FormalBenchHF__diverse__rule_1__MaxProduct_llm_1.c
FormalBench_0007	FormalBench	represent/bench/java_flat/FormalBench_0007__FormalBenchHF__diverse__rule_1__MaxProduct_llm_0.java	represent/bench/c_flat/FormalBench_0007__FormalBenchHF__diverse__rule_1__MaxProduct_llm_0.c
FormalBench_0008	FormalBench	represent/bench/java_flat/FormalBench_0008__FormalBenchHF__base__programs__MaxProduct.java	represent/bench/c_flat/FormalBench_0008__FormalBenchHF__base__programs__MaxProduct.c
FormalBench_0009	FormalBench	represent/bench/java_flat/FormalBench_0009__FormalBenchHF__base__programs__SmallestMultiple.java	represent/bench/c_flat/FormalBench_0009__FormalBenchHF__base__programs__SmallestMultiple.c
FormalBench_0010	FormalBench	represent/bench/java_flat/FormalBench_0010__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_2.java	represent/bench/c_flat/FormalBench_0010__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_2.c
FormalBench_0011	FormalBench	represent/bench/java_flat/FormalBench_0011__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_1.java	represent/bench/c_flat/FormalBench_0011__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_1.c
FormalBench_0012	FormalBench	represent/bench/java_flat/FormalBench_0012__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_0.java	represent/bench/c_flat/FormalBench_0012__FormalBenchHF__diverse__rule_1__FirstMissingPositive_llm_0.c
FormalBench_0013	FormalBench	represent/bench/java_flat/FormalBench_0013__FormalBenchHF__base__programs__FirstMissingPositive.java	represent/bench/c_flat/FormalBench_0013__FormalBenchHF__base__programs__FirstMissingPositive.c
FormalBench_0014	FormalBench	represent/bench/java_flat/FormalBench_0014__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_2.java	represent/bench/c_flat/FormalBench_0014__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_2.c
FormalBench_0015	FormalBench	represent/bench/java_flat/FormalBench_0015__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_1.java	represent/bench/c_flat/FormalBench_0015__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_1.c
FormalBench_0016	FormalBench	represent/bench/java_flat/FormalBench_0016__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_0.java	represent/bench/c_flat/FormalBench_0016__FormalBenchHF__diverse__rule_1__FindEvenPair_llm_0.c
FormalBench_0017	FormalBench	represent/bench/java_flat/FormalBench_0017__FormalBenchHF__base__programs__FindEvenPair.java	represent/bench/c_flat/FormalBench_0017__FormalBenchHF__base__programs__FindEvenPair.c
FormalBench_0018	FormalBench	represent/bench/java_flat/FormalBench_0018__FormalBenchHF__base__programs__MinOps.java	represent/bench/c_flat/FormalBench_0018__FormalBenchHF__base__programs__MinOps.c
FormalBench_0019	FormalBench	represent/bench/java_flat/FormalBench_0019__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_2.java	represent/bench/c_flat/FormalBench_0019__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_2.c
FormalBench_0020	FormalBench	represent/bench/java_flat/FormalBench_0020__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_1.java	represent/bench/c_flat/FormalBench_0020__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_1.c
FormalBench_0021	FormalBench	represent/bench/java_flat/FormalBench_0021__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_0.java	represent/bench/c_flat/FormalBench_0021__FormalBenchHF__diverse__rule_1__FindRotationCount_llm_0.c
FormalBench_0022	FormalBench	represent/bench/java_flat/FormalBench_0022__FormalBenchHF__diverse__rule_1__FindKth_llm_2.java	represent/bench/c_flat/FormalBench_0022__FormalBenchHF__diverse__rule_1__FindKth_llm_2.c
FormalBench_0023	FormalBench	represent/bench/java_flat/FormalBench_0023__FormalBenchHF__diverse__rule_1__FindKth_llm_1.java	represent/bench/c_flat/FormalBench_0023__FormalBenchHF__diverse__rule_1__FindKth_llm_1.c
FormalBench_0024	FormalBench	represent/bench/java_flat/FormalBench_0024__FormalBenchHF__diverse__rule_1__FindKth_llm_0.java	represent/bench/c_flat/FormalBench_0024__FormalBenchHF__diverse__rule_1__FindKth_llm_0.c
FormalBench_0025	FormalBench	represent/bench/java_flat/FormalBench_0025__FormalBenchHF__base__programs__FindRotationCount.java	represent/bench/c_flat/FormalBench_0025__FormalBenchHF__base__programs__FindRotationCount.c
FormalBench_0026	FormalBench	represent/bench/java_flat/FormalBench_0026__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_2.java	represent/bench/c_flat/FormalBench_0026__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_2.c
FormalBench_0027	FormalBench	represent/bench/java_flat/FormalBench_0027__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_1.java	represent/bench/c_flat/FormalBench_0027__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_1.c
FormalBench_0028	FormalBench	represent/bench/java_flat/FormalBench_0028__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_0.java	represent/bench/c_flat/FormalBench_0028__FormalBenchHF__diverse__rule_1__FindLastOccurrence_llm_0.c
FormalBench_0029	FormalBench	represent/bench/java_flat/FormalBench_0029__FormalBenchHF__diverse__rule_1__CalSum_llm_2.java	represent/bench/c_flat/FormalBench_0029__FormalBenchHF__diverse__rule_1__CalSum_llm_2.c
FormalBench_0030	FormalBench	represent/bench/java_flat/FormalBench_0030__FormalBenchHF__diverse__rule_1__CalSum_llm_1.java	represent/bench/c_flat/FormalBench_0030__FormalBenchHF__diverse__rule_1__CalSum_llm_1.c
