model,case_id,method,valid,seconds,tokens,calls,origin
gpt-5.4-mini,0,SESpec,False,179.0,26762,7,paper_archive
gpt-5.4-mini,0,SESpec_no_refine,False,3.364807367324829,0,0,paper_archive+before_api_failure
gpt-5.4-mini,0,LLM-C,True,0.9032717710069846,1378,1,paper_archive
gpt-5.4-mini,0,AutoSpec,True,1.8981430000000001,2022,1,paper_archive
gpt-5.4-mini,0,SpecGen,True,30.50716050097253,1994,1,paper_archive
gpt-5.4-mini,1,SESpec,True,219.94,23252,7,paper_archive
gpt-5.4-mini,1,SESpec_no_refine,False,3.097825050354004,0,0,paper_archive+before_api_failure
gpt-5.4-mini,1,LLM-C,False,0.26064780600427184,1428,1,paper_archive
gpt-5.4-mini,1,AutoSpec,True,1.066018,1992,1,paper_archive
gpt-5.4-mini,1,SpecGen,True,32.94986793199496,1961,1,paper_archive
gpt-5.4-mini,2,SESpec,True,40.23,12404,3,paper_archive
gpt-5.4-mini,2,SESpec_no_refine,False,48.79,13157,3,paper_archive
gpt-5.4-mini,2,LLM-C,False,0.2482850789965596,1401,1,paper_archive
gpt-5.4-mini,2,AutoSpec,True,1.653407,2234,1,paper_archive
gpt-5.4-mini,2,SpecGen,True,26.178518565007835,1977,1,paper_archive
gpt-5.4-mini,3,SESpec,True,39.28,45097,8,paper_archive
gpt-5.4-mini,3,SESpec_no_refine,True,82.22,13045,3,paper_archive
gpt-5.4-mini,3,LLM-C,True,4.089208728997619,1464,1,paper_archive
gpt-5.4-mini,3,AutoSpec,True,18.673064,2402,1,paper_archive
gpt-5.4-mini,3,SpecGen,True,79.4456676789996,2110,1,paper_archive
gpt-5.4-mini,4,SESpec,True,209.63,64193,11,paper_archive
gpt-5.4-mini,4,SESpec_no_refine,False,13.57,10662,4,paper_archive
gpt-5.4-mini,4,LLM-C,False,0.38721786200767383,1498,1,paper_archive
gpt-5.4-mini,4,AutoSpec,True,27.210419,41424,20,paper_archive
gpt-5.4-mini,4,SpecGen,False,154.1891841860197,5243,2,paper_archive
gpt-5.4-mini,5,SESpec,True,124.0,26103,6,paper_archive
gpt-5.4-mini,5,SESpec_no_refine,True,82.92,12855,3,paper_archive
gpt-5.4-mini,5,LLM-C,False,10.683207626992953,1304,1,paper_archive
gpt-5.4-mini,5,AutoSpec,False,9.499661,1957,1,paper_archive
gpt-5.4-mini,5,SpecGen,True,66.17379434000759,1923,1,paper_archive
gpt-5.4-mini,6,SESpec,True,338.13,70338,9,paper_archive
gpt-5.4-mini,6,SESpec_no_refine,True,89.99,13057,3,paper_archive
gpt-5.4-mini,6,LLM-C,False,0.263996458001202,3373,1,paper_archive
gpt-5.4-mini,6,AutoSpec,False,130.16954943000746,8810,3,paper_archive+step_logs
gpt-5.4-mini,6,SpecGen,False,451.2079389229766,3651,1,paper_archive
gpt-5.4-mini,7,SESpec,True,18.53,9465,3,paper_archive
gpt-5.4-mini,7,SESpec_no_refine,True,2.58,0,0,paper_archive
gpt-5.4-mini,7,LLM-C,True,0.7743469160050154,1376,1,paper_archive
gpt-5.4-mini,7,AutoSpec,True,35.05241528400802,2162,1,paper_archive+rerun_estimate_1_steps
gpt-5.4-mini,7,SpecGen,False,63.47079500800464,1948,1,paper_archive
gpt-5.4-mini,8,SESpec,True,454.05,176534,20,paper_archive
gpt-5.4-mini,8,SESpec_no_refine,False,84.63,13497,3,paper_archive
gpt-5.4-mini,8,LLM-C,False,11.850170830992283,2065,1,paper_archive
gpt-5.4-mini,8,AutoSpec,False,55.063000533002196,5752,1,paper_archive+rerun_estimate_1_steps
gpt-5.4-mini,8,SpecGen,True,82.67448726999282,2524,1,paper_archive
gpt-5.4-mini,9,SESpec,True,394.37,161198,20,paper_archive
gpt-5.4-mini,9,SESpec_no_refine,False,9.756484031677246,0,0,paper_archive+before_api_failure
gpt-5.4-mini,9,LLM-C,False,0.39408940900466405,1792,1,paper_archive
gpt-5.4-mini,9,AutoSpec,False,545.6933829849877,19006,8,paper_archive+step_logs
gpt-5.4-mini,9,SpecGen,False,207.31944320100592,19820,7,paper_archive
gpt-5.4-mini,10,SESpec,True,20.73,17805,4,paper_archive
gpt-5.4-mini,10,SESpec_no_refine,False,29.9,10739,4,paper_archive
gpt-5.4-mini,10,LLM-C,True,0.932263012000476,1388,1,paper_archive
gpt-5.4-mini,10,AutoSpec,True,0.591571,1988,1,paper_archive
gpt-5.4-mini,10,SpecGen,True,34.33352914299758,1955,1,paper_archive
gpt-5.4-mini,11,SESpec,True,20.73,17805,4,paper_archive
gpt-5.4-mini,11,SESpec_no_refine,False,25.73,10872,4,paper_archive
gpt-5.4-mini,11,LLM-C,True,1.0005335510068107,1388,1,paper_archive
gpt-5.4-mini,11,AutoSpec,True,0.587003,1971,1,paper_archive
gpt-5.4-mini,11,SpecGen,False,86.80947156601178,4216,2,paper_archive
gpt-5.4-mini,12,SESpec,True,20.73,17805,4,paper_archive
gpt-5.4-mini,12,SESpec_no_refine,False,41.45,10765,3,paper_archive
gpt-5.4-mini,12,LLM-C,False,0.3804452600015793,1388,1,paper_archive
gpt-5.4-mini,12,AutoSpec,True,0.733594,2030,1,paper_archive
gpt-5.4-mini,12,SpecGen,True,24.34806485203444,1955,1,paper_archive
gpt-5.4-mini,13,SESpec,True,29.77,22291,7,paper_archive
gpt-5.4-mini,13,SESpec_no_refine,True,1.66,0,0,paper_archive
gpt-5.4-mini,13,LLM-C,False,10.689833402007935,1388,1,paper_archive
gpt-5.4-mini,13,AutoSpec,False,18.27501,1994,1,paper_archive
gpt-5.4-mini,13,SpecGen,True,33.09478963598667,1962,1,paper_archive
gpt-5.4-mini,14,SESpec,True,9.42,3506,1,paper_archive
gpt-5.4-mini,14,SESpec_no_refine,False,3.504910707473755,0,0,paper_archive+before_api_failure
gpt-5.4-mini,14,LLM-C,True,0.5503507889952743,1437,1,paper_archive
gpt-5.4-mini,14,AutoSpec,False,30.050679617008427,2161,1,paper_archive+step_logs
gpt-5.4-mini,14,SpecGen,False,33.236077747977106,2011,1,paper_archive
gpt-5.4-mini,15,SESpec,True,39.01,7393,2,paper_archive
gpt-5.4-mini,15,SESpec_no_refine,False,48.82,13997,3,paper_archive
gpt-5.4-mini,15,LLM-C,False,10.76495129900286,1474,1,paper_archive
gpt-5.4-mini,15,AutoSpec,False,25.038117281001178,2216,1,paper_archive+step_logs
gpt-5.4-mini,15,SpecGen,False,33.803912064031465,2017,1,paper_archive
gpt-5.4-mini,16,SESpec,True,118.76,33368,4,later_model_archive
gpt-5.4-mini,16,SESpec_no_refine,True,9.47,3917,1,paper_archive
gpt-5.4-mini,16,LLM-C,False,10.795780078988173,1386,1,paper_archive
gpt-5.4-mini,16,AutoSpec,False,15.027919804007979,2159,1,paper_archive+step_logs
gpt-5.4-mini,16,SpecGen,False,34.48804217603174,2013,1,paper_archive
gpt-5.4-mini,17,SESpec,True,38.94,7327,2,paper_archive
gpt-5.4-mini,17,SESpec_no_refine,False,2.8849174976348877,0,0,paper_archive+before_api_failure
gpt-5.4-mini,17,LLM-C,False,10.87743039400084,1381,1,paper_archive
gpt-5.4-mini,17,AutoSpec,False,25.03912985099305,1979,1,paper_archive+step_logs
gpt-5.4-mini,17,SpecGen,False,35.765064218023326,1941,1,paper_archive
gpt-5.4-mini,18,SESpec,True,317.05,102300,10,paper_archive
gpt-5.4-mini,18,SESpec_no_refine,False,3.184337854385376,0,0,paper_archive+before_api_failure
gpt-5.4-mini,18,LLM-C,False,10.727488247997826,1642,1,paper_archive
gpt-5.4-mini,18,AutoSpec,False,35.040880868000386,2530,1,autospec_step_archive+step_logs
gpt-5.4-mini,18,SpecGen,True,323.88127402600367,7262,3,paper_archive
gpt-5.4-mini,19,SESpec,True,152.18,68928,8,paper_archive
gpt-5.4-mini,19,SESpec_no_refine,False,3.768618106842041,0,0,paper_archive+before_api_failure
gpt-5.4-mini,19,LLM-C,False,10.7602994619956,1309,1,paper_archive
gpt-5.4-mini,19,AutoSpec,False,0.204972,2163,1,paper_archive
gpt-5.4-mini,19,SpecGen,True,31.242918507006834,1887,1,paper_archive
gpt-5.4-mini,20,SESpec,True,433.06,235549,14,paper_archive
gpt-5.4-mini,20,SESpec_no_refine,False,29.37,11785,3,paper_archive
gpt-5.4-mini,20,LLM-C,False,10.778367117003654,1540,1,paper_archive
gpt-5.4-mini,20,AutoSpec,False,800.8718509519967,15662,5,autospec_step_archive+rerun_estimate_1_steps
gpt-5.4-mini,20,SpecGen,False,242.79911256599007,2097,1,paper_archive
gpt-5.4-mini,21,SESpec,False,451.33,90031,17,paper_archive
gpt-5.4-mini,21,SESpec_no_refine,False,3.7075233459472656,0,0,paper_archive+before_api_failure
gpt-5.4-mini,21,LLM-C,True,1.0880943009979092,1711,1,paper_archive
gpt-5.4-mini,21,AutoSpec,False,1802.840729656993,5528,2,paper_archive+step_logs
gpt-5.4-mini,21,SpecGen,False,111.17759421601659,2087,1,paper_archive
gpt-5.4-mini,22,SESpec,False,277.96,40712,7,paper_archive
gpt-5.4-mini,22,SESpec_no_refine,False,10.32,8015,2,paper_archive
gpt-5.4-mini,22,LLM-C,False,10.736887671999284,1415,1,paper_archive
gpt-5.4-mini,22,AutoSpec,False,15.03096262300096,2161,1,paper_archive+rerun_estimate_1_steps
gpt-5.4-mini,22,SpecGen,True,32.94921030801197,1979,1,paper_archive
gpt-5.4-mini,23,SESpec,True,232.03,80639,8,paper_archive
gpt-5.4-mini,23,SESpec_no_refine,False,42.76,12362,3,paper_archive
gpt-5.4-mini,23,LLM-C,False,11.086707293012296,1466,1,paper_archive
gpt-5.4-mini,23,AutoSpec,True,18.359323,2265,1,paper_archive
gpt-5.4-mini,23,SpecGen,False,233.57589892599208,18541,8,paper_archive
gpt-5.4-mini,24,SESpec,True,47.84,44242,7,paper_archive
gpt-5.4-mini,24,SESpec_no_refine,True,83.51,7188,2,paper_archive
gpt-5.4-mini,24,LLM-C,False,10.790723309997702,1625,1,paper_archive
gpt-5.4-mini,24,AutoSpec,False,1196.5591230639984,60799,20,autospec_step_archive+step_logs
gpt-5.4-mini,24,SpecGen,False,27.302626344986493,2197,1,paper_archive
gpt-5.4-mini,25,SESpec,True,32.78,37230,7,paper_archive
gpt-5.4-mini,25,SESpec_no_refine,True,71.8,7268,2,paper_archive
