model,case_id,arc_stem,passed,skipped,skip_reason,checked_goal_count,valid_goal_count,total_seconds,total_tokens
gpt-5,0,SVCOMP_0001__SVCOMP__Ackermann__Ackermann,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0000/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0000/candidate.c:23: Warning: 
  wrong order of clause in contract: terminates after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0000/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4881
gpt-5,1,SVCOMP_0002__SVCOMP__Addition__Addition,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0001/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0001/candidate.c:17: Warning: 
  wrong order of clause in contract: decreases after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0001/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4224
gpt-5,2,SVCOMP_0081__SVCOMP__Fibonacci__Fibonacci,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0002/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0002/candidate.c:12: Warning: 
  wrong order of clause in contract: decreases after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0002/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4698
gpt-5,3,SVCOMP_0083__SVCOMP__GCD__GCD,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0003/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0003/candidate.c:14: Warning: 
  wrong order of clause in contract: decreases after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0003/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3877
gpt-5,5,SVCOMP_0092__SVCOMP__Mccarthy91__Mccarthy91,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0005/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0005/candidate.c:6: Warning: 
  wrong order of clause in contract: decreases after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0005/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4869
gpt-5,7,SVCOMP_0095__SVCOMP__MultCommutative__MultCommutative,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0007/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0007/candidate.c:4: Warning: 
  unbound logic variable INT_MAX. Ignoring logic specification of function mult
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0007/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5959
gpt-5,8,SVCOMP_0103__SVCOMP__Primes__Primes,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0008/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0008/candidate.c:8: Warning: 
  unexpected token 'decreases'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0008/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,8481
gpt-5,10,SVCOMP_0198__SVCOMP__boundcheck30__boundcheck30,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0010/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0010/candidate.c:17: Warning: 
  wrong order of clause in contract: post-condition after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0010/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2695
gpt-5,11,SVCOMP_0198__SVCOMP__boundcheck30__boundcheck30,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0011/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0011/candidate.c:6: Warning: 
  wrong order of clause in contract: terminates after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0011/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,2584
gpt-5,12,SVCOMP_0198__SVCOMP__boundcheck30__boundcheck30,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0012/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0012/candidate.c:17: Warning: 
  wrong order of clause in contract: post-condition after complete or disjoint.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0012/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3195
gpt-5,13,SVCOMP_0254__SVCOMP__recursion2__recursion2,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0013/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0013/candidate.c:15: Warning: 
  wrong order of clause in contract: decreases after post-condition, assigns or allocates.
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0013/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3359
gpt-5,18,SVCOMP_0091__SVCOMP__InsertionSort__InsertionSort,False,False,,0,0,0.23153320301207714,8364
gpt-5,19,SVCOMP_0148__SVCOMP__StringMiscellaneous02__StringMiscellaneous02,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0019/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0019/candidate.c:3: Warning: 
  unexpected token 'const'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0019/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,1992
gpt-5,20,SVCOMP_0149__SVCOMP__StringMiscellaneous03__StringMiscellaneous03,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0020/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0020/candidate.c:7: Warning: 
  unbound logic function \strlen. Ignoring logic specification of function f
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0020/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6183
gpt-5,22,SVCOMP_0182__SVCOMP__arraylength1__arraylength1,True,False,,4,4,0.3700736400205642,3285
gpt-5,28,SVCOMP_0233__SVCOMP__instanceof1__instanceof1,True,False,,6,6,0.3137609039840754,1510
gpt-5,30,SVCOMP_0264__SVCOMP__uninitialised1__uninitialised1,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0030/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0030/candidate.c:15: Warning: 
  unexpected token 'i'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0030/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3901
gpt-5,35,SVCOMP_0193__SVCOMP__bitwise1__bitwise1,True,False,,2,2,10.629734115005704,4917
gpt-5,38,SVCOMP_linear_0042__136,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0038/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0038/candidate.c:5: Warning: 
  unbound logic variable t. Ignoring logic specification of function foo136
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0038/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4847
gpt-5,39,SVCOMP_linear_0042__136,False,False,,11,8,10.665650940005435,6854
gpt-5,40,SVCOMP_linear_0042__136,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0040/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0040/candidate.c:5: Warning: 
  unbound logic variable t. Ignoring code annotation
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0040/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3715
gpt-5,41,SVCOMP_linear_0042__136,False,False,,17,15,10.653844082000433,7214
gpt-5,42,SVCOMP_linear_0042__136,False,False,,0,0,0.25843331500072964,8434
gpt-5,43,SVCOMP_linear_0042__136,False,False,,0,0,0.21521453399327584,8434
gpt-5,44,SVCOMP_linear_0042__136,False,False,,11,9,10.653550529008498,6522
gpt-5,45,SVCOMP_linear_0042__136,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0045/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0045/candidate.c:3: Warning: 
  unbound logic variable \everything. Ignoring logic specification of function foo136
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0045/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7668
gpt-5,46,SVCOMP_linear_0042__136,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0046/candidate.c (with preprocessing)
[kernel] represent/results/smoke/bare_model/c/gpt-5/sespec_0046/candidate.c:15: 
  syntax error:
  Location: line 15, column 21
  13    
  14      complete behaviors;
  15      disjoint behaviors;
        ^^^^^^^^^^^^^^^^^^^^^
  16    */
  17    {
[kernel] Frama-C aborted: invalid user input.",,,0.0,7404
gpt-5,47,SVCOMP_linear_0052__145,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0047/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0047/candidate.c:6: Warning: 
  \old undefined in this context. Ignoring logic specification of function foo145
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0047/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5053
gpt-5,48,SVCOMP_linear_0054__147,True,False,,17,17,0.48589821299538016,3037
gpt-5,49,SVCOMP_linear_0086__176,False,False,,0,0,0.2282441760180518,8350
gpt-5,50,SVCOMP_linear_0092__181,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0050/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0050/candidate.c:6: Warning: 
  unbound logic variable b. Ignoring logic specification of function foo181
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0050/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,5219
gpt-5,51,SVCOMP_linear_0099__188,True,False,,24,24,0.9293353099783417,5568
gpt-5,52,SVCOMP_linear_0099__188,True,False,,23,23,0.9409122520009987,4987
gpt-5,53,SVCOMP_linear_0143__227,True,False,,4,4,10.630953460000455,6385
gpt-5,54,SVCOMP_linear_0144__228,True,False,,7,7,10.986428817006527,3894
gpt-5,55,SVCOMP_linear_0149__232,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0055/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0055/candidate.c:4: Warning: 
  unbound logic variable x. Ignoring logic specification of function foo232
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0055/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7933
gpt-5,59,SVCOMP_linear_0161__243,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0059/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0059/candidate.c:9: Warning: 
  unbound logic variable y. Ignoring logic specification of function foo243
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0059/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,6457
gpt-5,60,SVCOMP_linear_0164__246,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0060/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0060/candidate.c:7: Warning: 
  unbound logic variable j. Ignoring logic specification of function foo246
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0060/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,3317
gpt-5,61,SVCOMP_linear_0164__246,True,False,,8,8,10.782627303997288,5482
gpt-5,62,SVCOMP_linear_0164__246,True,False,,7,7,0.877897069993196,4482
gpt-5,63,SVCOMP_linear_0171__252,True,False,,29,29,1.0641629319870844,4651
gpt-5,64,SVCOMP_linear_0172__253,True,False,,14,14,0.8242722610011697,5083
gpt-5,65,SVCOMP_linear_0183__263,True,False,,9,9,0.7995814569876529,7657
gpt-5,66,SVCOMP_linear_0206__284,False,False,,11,10,10.962211342994124,6392
gpt-5,67,SVCOMP_linear_0225__300,True,False,,27,27,11.474928390991408,6305
gpt-5,68,SVCOMP_linear_0231__306,True,False,,14,14,1.0512395109981298,6563
gpt-5,69,SVCOMP_linear_0232__307,True,False,,17,17,6.369380276009906,5937
gpt-5,70,SVCOMP_linear_0233__308,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0070/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0070/candidate.c:23: Warning: 
  unbound logic variable l. Ignoring logic specification of function foo308
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0070/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,4740
gpt-5,71,SVCOMP_linear_0234__309,False,False,,0,0,0.2247572810156271,8461
gpt-5,72,SVCOMP_linear_0236__310,False,True,"[kernel] Parsing represent/results/smoke/bare_model/c/gpt-5/sespec_0072/candidate.c (with preprocessing)
[kernel:annot-error] represent/results/smoke/bare_model/c/gpt-5/sespec_0072/candidate.c:33: Warning: 
  unexpected token 'integer'
[kernel] User Error: warning annot-error treated as fatal error.
[kernel] User Error: stopping on
  file ""represent/results/smoke/bare_model/c/gpt-5/sespec_0072/candidate.c""
  that has errors. Add '-kernel-msg-key pp' for preprocessing command.
[kernel] Frama-C aborted: invalid user input.",,,0.0,7614
