"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"100","100","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/100/foo18.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/100/final_candidate.java","foo18","convertTemperature","","","1","A_stronger","A is stronger because it specifies the exact returned value and no side effects, while B provides no functional contract facts at all.","gpt-5.4"
"140","140","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/140/foo65.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/140/final_candidate.java","foo65","numberOfCuts","","","1","equal","Both contracts state the same complete case split on n (n==1, n!=1 and even, n!=1 and odd) with identical result equations, so neither adds any non-trivial functional fact beyond the other.","gpt-5.4"
"141","141","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/141/foo66.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/141/final_candidate.java","foo66","numberOfCuts","","","1","equal","A’s single conditional postcondition is logically equivalent to B’s three case-split postconditions, and neither adds any non-trivial fact beyond the same complete characterization of the result.","gpt-5.4"
"93","93","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/93/foo93.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/93/final_candidate.java","foo93","calculate","","","1","B_stronger","B includes all of A's postconditions and additionally specifies the '+' case result, while A lacks that non-trivial behavior fact and its extra precondition is not enough to outweigh the stronger postcondition characterization.","gpt-5.4"
"101","101","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/101/foo101.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/101/final_candidate.java","foo101","CopyArray","","","1","A_stronger","A includes B's unchanged-outside-range guarantee and additionally specifies that all indices in [iBegin,iEnd) are copied from b and that b itself is unchanged, facts not present in B.","gpt-5.4"
"129","129","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/129/foo52_c129.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/129/final_candidate.java","foo52_c129","isLeapYear","","","1","equal","Both contracts fully characterize the result as true/1 exactly when year is divisible by 400 or divisible by 4 but not by 100, with B merely splitting A's single equivalence into exhaustive implication cases.","gpt-5.4"
"81","81","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/81/foo79.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/81/final_candidate.java","foo79","unknown","","","1","B_stronger","B contains all substantive facts of A's loop invariants and additionally states preserved-parameter facts and the derived bound on z (plus only redundant restatements), while A's only extra postcondition is the vacuous ensures true.","gpt-5.4"
"115","115","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/115/foo38_c115.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/115/final_candidate.java","foo38_c115","isCommonFactor","","","1","A_stronger","A exactly characterizes the result with a bi-implication to the common-factor predicate, whereas B only gives case-wise implications from inputs to result and lacks the converse fact that result 1 implies both divisibility conditions.","gpt-5.4"
"119","119","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/119/foo119.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/119/final_candidate.java","foo119","isDescending","","","1","B_stronger","B includes A's only substantive postcondition for arrays of length <2 and additionally specifies that any true result implies the whole array is strictly descending (plus preservation facts), whereas A has no non-trivial general-case postcondition beyond ensures true.","gpt-5.4"
"142","142","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/142/foo67_c142.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/142/final_candidate.java","foo67_c142","isEven","","","1","A_stronger","A fully specifies the result by equivalence to the parity test, while B only gives one-way implications for odd and even inputs and thus does not exclude other result values when the function returns an int.","gpt-5.4"
"11","11","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/11/foo41.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/11/final_candidate.java","foo41","recursion","","","1","A_stronger","A's postcondition fully characterizes the result for all inputs as true exactly when i>=0, which implies B's only postcondition for the restricted case i>=0 and adds nontrivial information about negative inputs that B does not express.","gpt-5.4"
"35","35","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/35/foo35.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/35/final_candidate.java","foo35","fun","","","1","incomparable","A uniquely specifies the side effect on global c and relates the result to that stored value, while B uniquely specifies the result is exactly 0 or 1 and gives both true/false characterizations directly from input, so neither contract implies the other.","gpt-5.4"
"128","128","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/128/foo51.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/128/final_candidate.java","foo51","isLeapYear","","","1","equal","A’s single postcondition is logically equivalent to B’s exhaustive case-split postconditions, and both characterize exactly the same input-output relation (modulo boolean vs 0/1 encoding).","gpt-5.4"
"103","103","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/103/foo23_c103.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/103/final_candidate.java","foo23_c103","divisorGame","","","1","equal","A's biconditional '\\result <==> (n % 2 == 0)' is logically equivalent to B's two implications specifying result 1 for even n and 0 for odd n, so they characterize the same input-output behavior.","gpt-5.4"
"118","118","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/118/foo118.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/118/final_candidate.java","foo118","isCommonMultiple","","","1","A_stronger","A exactly characterizes the result as the boolean equivalence \\result == ((m % a == 0) && (m % b == 0)), which implies all three case-split postconditions in B, while B lacks the converse/equational characterization present in A.","gpt-5.4"
"79","79","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/79/foo79.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/79/final_candidate.java","foo79","unknown","","","1","B_stronger","B contains all of A's substantive loop facts (same c-bounds and z==36*y+c relation, modulo \\at(y,Pre)) and adds extra non-trivial information such as the derived bound z >= 36*\\at(y,Pre) && z <= 36*\\at(y,Pre)+36 and preservation of x1, x2, x3, and y.","gpt-5.4"
"91","91","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/91/foo91.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/91/final_candidate.java","foo91","Binary","","","1","equal","Both contracts guarantee only that the result is either -1 or a valid index containing key, and B's extra clauses about bounds and the existential witness on the -1 case are logically redundant or vacuous relative to A's behavior characterization.","gpt-5.4"
"104","104","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/104/foo104.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/104/final_candidate.java","foo104","dominantIndex","","","1","A_stronger","A fully characterizes both outcomes by stating that a non--1 result is a dominating maximum and that result -1 implies every index is disqualified by some other element, whereas B only states one-way implications and its -1 condition is weaker because it requires merely the existence of some maximum with a violating witness.","gpt-5.4"
"137","137","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/137/foo62.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/137/final_candidate.java","foo62","notCommonFactor","","","1","A_stronger","A gives the exact Boolean result for factor!=0 and also specifies the factor==0 exceptional case, while B only characterizes the same nonzero-factor outcomes by cases and lacks any corresponding zero-factor behavior fact.","gpt-5.4"
"116","116","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/116/foo116.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/116/final_candidate.java","foo116","isCommonFactor","","","1","A_stronger","A gives the full biconditional between the result and both divisibility tests, which implies all three of B's case-split postconditions and additionally states the missing converse that a true result occurs only when both remainders are zero.","gpt-5.4"
"109","109","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/109/foo30.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5-mini/109/final_candidate.java","foo30","fizzBuzz","","","1","equal","Both contracts fully determine the result for all four divisibility cases, and A's extra range clause is entailed by those same case distinctions so neither specifies any additional non-trivial input-output behavior.","gpt-5.4"
