baseline,model,pairs,rated,pending,errors,contract_comparisons,invariant_comparisons,B_stronger,A_stronger,equal,incomparable
autospec,gpt-4o,74,74,0,0,58,16,17,20,6,31
autospec,gpt-5-mini,102,102,0,0,55,47,16,30,8,48
autospec,gpt-5.4-mini,242,242,0,0,186,56,43,45,16,138
autospec,gpt-5,280,280,0,0,230,50,49,47,10,174
autospec,Total,698,698,0,0,529,169,125,142,40,391
specgen,gpt-4o,110,110,0,0,106,4,5,11,8,86
specgen,gpt-5-mini,133,133,0,0,130,3,10,11,15,97
specgen,gpt-5.4-mini,191,191,0,0,172,19,23,28,15,125
specgen,gpt-5,239,239,0,0,228,11,23,32,29,155
specgen,Total,673,673,0,0,636,37,61,82,67,463
