case_id,archive_case_id,verdict,reason
2,SVCOMP_0081,B_stronger,"B states a substantially more detailed functional contract with concrete return conditions tied to the input parameter c and array validity properties, while A only specifies a simple piecewise result"
3,SVCOMP_0083,A_stronger,"A specifies concrete functional behavior for the return value in three cases, while B is essentially a frame/purity contract with only preservation facts and no meaningful postcondition about the resu"
4,SVCOMP_0084,A_stronger,"A and B have the same essential precondition/frame and both specify the same counter increment behavior, but A additionally specifies the exact recursive result of hanoi, which B lacks."
5,SVCOMP_0092,incomparable,"Specgen precisely characterizes McCarthy-91’s piecewise return value (91 vs. n-10), while SESpec characterizes a different array-search function with distinct existence/index postconditions, so neithe"
6,SVCOMP_0093,B_stronger,"B is much more informative: it specifies exact return behavior for all cases plus full array preservation, while A only states sortedness of the output and lacks any detailed relation to inputs beyond"
8,SVCOMP_0103,B_stronger,"B contains detailed preconditions and loop invariants about valid readable arrays and preservation of array contents, while A’s postconditions only state the trivial boolean range esult==0||1, so B m"
10,SVCOMP_0196,A_stronger,"A characterizes the result exactly as the predicate (i >= 0), covering both return values for all inputs, whereas B only specifies the result on the nonnegative precondition and omits the negative-inp"
12,SVCOMP_0198,B_stronger,"B is strictly more informative because it states concrete array validity/range assumptions and output cases tied to the input size, while A only specifies the boolean result from the sign of i."
13,SVCOMP_0254,incomparable,"A precisely specifies the recursive function’s return value by depth, while B precisely characterizes a different boolean function by modular cases; neither contract implies the other."
15,SVCOMP_0008,incomparable,"A precisely characterizes the return value by input size cases, while B states different constraints about array length/search outcome and loop state, so neither contract’s postconditions logically im"
16,SVCOMP_0009,incomparable,"A precisely specifies three disjoint result cases based on size, while B specifies a different case split over operator and arithmetic result; neither contract implies the other and each contains fact"
23,SVCOMP_0202,B_stronger,"B implies A’s only nontrivial observable output fact (a restricted return value range) only very weakly, but B also specifies concrete preconditions and loop invariants about the array contents and pr"
24,SVCOMP_0205,B_stronger,"B states concrete input-dependent return behavior for size==0 and for positive sizes under an array-order condition, while A only contains trivial assertions and no meaningful contract facts beyond tr"
25,SVCOMP_0208,B_stronger,"B states concrete input-output behavior for foo47 (including a nontrivial conditional result guarantee and loop invariants about min/count), whereas A only says main terminates with no meaningful post"
28,SVCOMP_0233,B_stronger,"B precisely specifies the array-length, validity, bounded-value, and loop/post-state maximum behavior of the function, while A only states a null precondition and a trivial ensures, so B is strictly m"
33,SVCOMP_0006,equal,"Both contracts express the same bidirectional behavior: the result is true/1 exactly when denom is nonzero and false/0 exactly when denom is zero, with no additional substantive postconditions."
34,SVCOMP_0026,B_stronger,"B precisely specifies the exact returned boolean value for all inputs (equivalent to n % 4 != 0), while A only characterizes division behavior with conditional overflow/special-case cases and is less "
35,SVCOMP_0193,B_stronger,"B states the non-trivial postcondition that the result is a boolean-like value (0 or 1), while A only specifies that the result is true, so B is more informative overall and A does not imply B's addit"
94,SpecGenBench_0278,equal,"Both contracts specify exactly the same input-output behavior: the result is true/1 iff n % 4 != 0, with no additional substantive facts beyond equivalent framing."
95,SpecGenBench_0281,incomparable,"A precisely specifies full equivalence with array equality on return value, while B adds stronger boundedness/validity assumptions and an explicit mismatch-false postcondition, so neither contract’s f"
100,SpecGenBench_0289,equal,"A and B specify the same functional behavior for the return value (the result equals celsius * 1.80 + 32.00), and B adds only an equivalent frame condition about no side effects, which does not make t"
103,SpecGenBench_0295,A_stronger,"A precisely specifies the boolean result as equivalent to n being even, while B mostly constrains unchanged inputs and loop-state bookkeeping with only weak/non-functional poststate information, so A "
107,SpecGenBench_0300,B_stronger,"B specifies the additional postcondition that any nonnegative result points to an occurrence whose successor is different (capturing the first occurrence), while A only states existence of a zero at t"
108,SpecGenBench_0301,equal,"Both contracts state the same four-way case split relating n mod 3 and n mod 5 to the return value, differing only in syntax and clause order."
109,SpecGenBench_0302,equal,"Both contracts characterize the same piecewise result for the four divisibility cases by 3 and 5, with B merely splitting the single arithmetic expression from A into exhaustive conditional postcondit"
111,SpecGenBench_0306,B_stronger,"B implies A’s functional behavior on equal lengths and matching reversed arrays, and additionally includes stricter bounded-value and non-alias/immutability-style facts plus detailed loop invariants, "
116,SpecGenBench_0311,incomparable,"A precisely specifies common-factor divisibility of two inputs given a nonzero factor, while B specifies a bit-level arithmetic predicate on a single input; neither contract logically implies the othe"
117,SpecGenBench_0312,incomparable,"A precisely characterizes the boolean result as equivalent to the two divisibility conditions, while B only specifies that the function returns 1 under its precondition, so neither contract logically "
118,SpecGenBench_0313,A_stronger,"A precisely characterizes the return value as equivalent to the divisibility condition on m by both a and b, while B only specifies the constant result 1 under a nonnegative precondition and omits the"
119,SpecGenBench_0314,B_stronger,"B implies the descending-output behavior of A and additionally constrains the input domain, result cases, and loop invariants more explicitly, while A mainly states the core equivalence of the return "
122,SpecGenBench_0317,B_stronger,"B adds substantial preconditions and loop invariants that constrain the array and the counting variables, while A only specifies palindrome input/output behavior, so B is the more informative contract"
128,SpecGenBench_0324,equal,"Both contracts characterize the same leap-year behavior: A states the complete biconditional result predicate, and B states the same cases as exhaustive, mutually consistent implications to 0/1."
129,SpecGenBench_0325,incomparable,"A specifies the exact leap-year boolean result, while B is about a different function and only provides loop invariants/behavioral facts for a maximum-subarray-style computation, so neither contract i"
130,SpecGenBench_0326,equal,"Both contracts characterize linear search with the same key facts: the result is -1 iff the value is absent, otherwise it is a valid matching index; A’s extra mention of the private field location is "
131,SpecGenBench_0329,B_stronger,"B specifies the exact result as the prefix maximum via a recursive logic function and preserves array contents across the loop, whereas A only states the result is an upper bound on all elements (plus"
132,SpecGenBench_0330,A_stronger,"A states the empty-array return behavior and a loop invariant that characterizes the running minimum relation, while B’s postcondition is inconsistent with the code and adds only preconditions plus a "
134,SpecGenBench_0333,equal,"Both contracts prove the same functional behavior: the result equals x*y, and the loop invariants are the same up to trivial formatting and redundant nonnegative bounds in B that do not add a distinct"
137,SpecGenBench_0338,equal,"Both contracts specify the same Boolean behavior: the result is 1 exactly when at least one of a or b is not divisible by factor, and 0 otherwise, with B just split into case-wise implications."
138,SpecGenBench_0339,A_stronger,"A gives the exact boolean characterization of the result (result is true iff either remainder is nonzero), while B splits this into weaker case-based implications that do not explicitly state the ful"
139,SpecGenBench_0340,B_stronger,"B includes A’s nontrivial nonnegativity/result-failure behavior but also adds stronger loop invariants and preservation facts about counters and arrays, so it more precisely constrains the function’s "
140,SpecGenBench_0341,equal,"The two contracts state the same postconditions with the same input-output cases, and their preconditions/frame conditions do not add any substantive difference."
141,SpecGenBench_0342,equal,"Both contracts state the same three mutually exclusive postconditions for n==1, even n!=1, and odd n!=1, with only syntactic reordering of conjuncts."
144,SpecGenBench_0345,incomparable,"A precisely specifies the returned value range for all valid inputs, while B specifies the special negative-input return and some loop invariants about the search state; neither contract’s postconditi"
145,SpecGenBench_0346,B_stronger,"B specifies the 4-argument behavior with exact casts and return type for the target function, while A is a set of unrelated overloaded Java methods and does not more precisely characterize foo70’s inp"
148,SpecGenBench_0354,A_stronger,"A specifies the full power-of-two characterization of the result, while B only states the negative case for n<=0 and a loop invariant, so A logically implies more behavior than B."
161,FormalBench_0012,A_stronger,"A precisely specifies the returned first missing positive value bounds, while B only states a coarse boolean-like result with a one-way condition, so A entails strictly more informative behavior."
169,FormalBench_0020,B_stronger,"B is more informative because it includes the frame/loop-invariant preservation of unchanged elements and the stepwise copy behavior over the updated prefix, while A only states a bound on the return "
