"baseline","model","sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","coverage"
"autospec","gpt-4o","1","1","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/1/foo1.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/1/SVCOMP_0002_merged.c","foo1","addition","","","1","ok"
"autospec","gpt-4o","2","2","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/2/foo2.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/2/SVCOMP_0081_merged.c","foo2","fibonacci","","","1","ok"
"autospec","gpt-4o","3","3","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/3/foo3.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/3/SVCOMP_0083_merged.c","foo3","gcd","","","1","ok"
"autospec","gpt-4o","4","4","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/4/foo25.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/4/SVCOMP_0084_merged.c","foo25","hanoi","","","1","ok"
"autospec","gpt-4o","7","7","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/7/foo7.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/7/SVCOMP_0095_merged.c","foo7","mult","","","1","ok"
"autospec","gpt-4o","10","10","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/10/foo10.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/10/SVCOMP_0196_merged.c","foo10","recursion","","","1","ok"
"autospec","gpt-4o","11","11","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/11/foo10.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/11/SVCOMP_0197_merged.c","foo10","recursion","","","1","ok"
"autospec","gpt-4o","12","12","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/12/foo10.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/12/SVCOMP_0198_merged.c","foo10","recursion","","","1","ok"
"autospec","gpt-4o","31","31","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/31/foo31.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/31/SVCOMP_0004_merged.c","foo31","arithmeticException1","","","1","ok"
"autospec","gpt-4o","32","32","/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/32/foo32.c","/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/32/SVCOMP_0005_merged.c","foo32","arithmeticException5","","","1","ok"
