"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"93","93","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/93/foo93.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/93/final_candidate.java","foo93","calculate","","","1","B_stronger","B includes all of A's substantive postconditions and additionally specifies the '+' case result, while A lacks any postcondition for '+' and its extra precondition about '*' and num2 does not strengthen the functional input-output characterization.","gpt-5.4"
"94","94","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/94/foo10.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/94/final_candidate.java","foo10","canWinNim","","","1","equal","A's postcondition '\\result == (n % 4 != 0)' is logically equivalent to B's two case-split postconditions that require result 1 when n%4!=0 and 0 when n%4==0, so they characterize the same input-output behavior.","gpt-5.4"
"100","100","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/100/foo18.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/100/final_candidate.java","foo18","convertTemperature","","","1","A_stronger","A is stronger because it specifies the exact return value as a function of the input, while B only states no precondition and no side effects and gives no functional postcondition about the result.","gpt-5.4"
"103","103","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/103/foo103.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/103/final_candidate.java","foo103","divisorGame","","","1","equal","A's biconditional '\\result <==> (n % 2 == 0)' is equivalent to B's two implications specifying result 1 for even n and 0 for odd n, so both characterize the same input-output behavior.","gpt-5.4"
"117","117","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/117/foo117.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/117/final_candidate.java","foo117","isCommonMultiple","","","1","A_stronger","A exactly characterizes the result with a bi-implication (true iff both divisibility conditions hold), while B only gives one-way case splits implying the returned value and does not state the converse that result 1 implies both divisibility conditions.","gpt-5.4"
"145","145","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/145/foo145.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/145/final_candidate.java","foo145","Perimeter","","","1","equal","Both contracts for the four-argument function characterize the result as exactly the sum of w, x, y, and z cast through long/long long, and B's extra inequality and \\old-form are logical consequences or reformulations of that same equality.","gpt-5.4"
"364","364","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/364/foo256.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/364/final_candidate.java","foo256","oddDays","","","1","B_stronger","B gives a complete case-split formula determining the exact result for all inputs, while A only constrains the result to lie between 0 and 6 for n >= 0 and does not imply B nor capture its exact functional behavior.","gpt-5.4"
"99","99","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/99/foo99.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/99/final_candidate.java","foo99","computeOverlapArea","","","1","B_stronger","B gives many case-split postconditions that determine the exact result for numerous specific input regions, while A only states non-negativity and a one-way characterization when the result is positive, so B entails strictly more input-output information.","gpt-5.4"
"92","92","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/92/foo8.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/92/final_candidate.java","foo8","calculate","","","1","B_stronger","B includes all of A's substantive postconditions and additionally specifies the subtraction case while A omits any postcondition for operator '-', whereas A's extra preconditions are less important here and do not make its input-output characterization stronger.","gpt-5.4"
"120","120","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/120/foo43.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/120/final_candidate.java","foo43","isMonotonic","","","1","B_stronger","B gives a meaningful postcondition relating the result to the array order when the function returns 1, whereas A's only postcondition states the return value equals the local expression used in the return and adds no substantive input-output characterization.","gpt-5.4"
"137","137","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/137/foo62.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/137/final_candidate.java","foo62","notCommonFactor","","","1","A_stronger","A exactly characterizes the result as true iff at least one modulus is nonzero, which implies all three of B's case-based postconditions, while B lacks the converse fact needed to force result 0 when either modulus is nonzero.","gpt-5.4"
"142","142","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/142/foo142.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/142/final_candidate.java","foo142","isEven","","","1","incomparable","A specifies the exact boolean result as an equivalence with x being even, while B gives only one-way implications for integer results on odd/even cases and uses the opposite parity predicate, so neither contract logically implies the other.","gpt-5.4"
"143","143","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/143/foo143.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/143/final_candidate.java","foo143","passPillow","","","1","incomparable","A guarantees the result is within [1,n], while B gives the exact piecewise return value in terms of the original time modulo expression; neither contract implies the other as written because A lacks the exact functional equality and B lacks A's explicit range guarantee without additional arithmetic assumptions/preconditions.","gpt-5.4"
"95","95","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/95/foo12.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/95/final_candidate.java","foo12","arrcmp","","","1","A_stronger","A gives a full bi-implication characterizing both true and false results exactly in terms of equal lengths and elementwise equality, while B only specifies one implication for the false result and says nothing precise about when the result is 1.","gpt-5.4"
"110","110","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/110/foo110.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/110/final_candidate.java","foo110","gcd","","","1","A_stronger","A includes B's essential postconditions and additionally characterizes the zero-input cases exactly, states that any positive result divides both inputs, and constrains common divisors enough to express maximality, while B only says both-zero gives -1 and nonzero/nonzero gives a positive result.","gpt-5.4"
"129","129","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/129/foo129.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/129/final_candidate.java","foo129","isLeapYear","","","1","A_stronger","A gives a full bi-implication characterizing exactly when the result is true, which entails all four implication cases in B, while B lacks the converse characterization that excludes other result values/conditions.","gpt-5.4"
"140","140","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/140/foo65.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/140/final_candidate.java","foo65","numberOfCuts","","","1","equal","Both contracts specify the same complete case split for all inputs—result 0 when n==1, result n/2 when n is even and not 1, and result n when n is odd and not 1—with A's extra precondition n>0 not making its functional postconditions stronger under the rubric.","gpt-5.4"
"133","133","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/133/foo133.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/133/final_candidate.java","foo133","moveZeroes","","","1","B_stronger","B includes the same swap postconditions as A for the helper plus the additional non-trivial guarantee that all other array elements remain unchanged, while A's moveZeroes postcondition does not imply B's swap-specific behavior.","gpt-5.4"
"307","307","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/307/foo307.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/307/final_candidate.java","foo307","largestPos","","","1","B_stronger","B precisely specifies that the result equals the maximum of all positive elements (or 0 if none) via max_positive, which implies A's weaker upper-bound property when positives exist, while A lacks this exactness and the no-positive case characterization.","gpt-5.4"
"134","134","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/134/foo134.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/134/final_candidate.java","foo134","mulNested","","","1","B_stronger","B includes A's main postcondition \\result == x * y and adds non-trivial postconditions about the sign of the result that are not stated in A, while A's loop invariants do not add stronger input-output characterization than B's.","gpt-5.4"
"109","109","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/109/foo30.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/109/final_candidate.java","foo30","fizzBuzz","","","1","A_stronger","A gives bi-implications that characterize both when each result occurs and exclude all other cases, whereas B only gives one-way implications from each divisibility case to the corresponding result.","gpt-5.4"
