model,case_id,function_name,passed,failure_reason,total_seconds,total_tokens,calls
gpt-4o,0,foo1,False,returncode_1,2.438239812850952,,
gpt-4o,1,foo2,False,returncode_1,3.103590726852417,,
gpt-4o,2,foo22,False,no_syntax,107.46,13799,3
gpt-4o,3,foo24,False,no_syntax,61.06,13412,3
gpt-4o,4,foo25,False,no_syntax,30.65,11346,4
gpt-4o,5,foo27,False,no_syntax,99.22,13972,3
gpt-4o,6,foo28,True,pass,73.05,7947,2
gpt-4o,7,foo29,True,pass,2.34,0,0
gpt-4o,8,foo32,True,pass,202.5,8305,2
gpt-4o,9,foo36,False,returncode_1,25.197495460510254,,
gpt-4o,10,foo40,False,no_syntax,50.7,11353,4
gpt-4o,11,foo41,False,no_syntax,46.32,11271,4
gpt-4o,12,foo42,True,pass,93.28,6934,2
gpt-4o,13,foo62,True,pass,1.84,0,0
gpt-4o,14,foo6,False,returncode_1,3.9018709659576416,,
gpt-4o,15,foo7,False,no_syntax,60.52,12965,3
gpt-4o,16,foo8,True,pass,26.46,4000,1
gpt-4o,17,foo9,False,returncode_1,2.869199275970459,,
gpt-4o,18,foo26,False,returncode_1,2.8806488513946533,,
gpt-4o,19,foo33,False,returncode_1,3.3345470428466797,,
gpt-4o,20,foo34,True,pass,40.1,7391,2
gpt-4o,21,foo35,False,returncode_1,3.8044872283935547,,
gpt-4o,22,foo37,False,no_syntax,46.67,8692,2
gpt-4o,23,foo44,False,no_syntax,47.67,11975,3
gpt-4o,24,foo45,False,no_syntax,74.41,12270,3
gpt-4o,25,foo47,False,no_syntax,54.55,12205,3
gpt-4o,26,foo48,False,returncode_1,2.2425382137298584,,
gpt-4o,27,foo49,False,returncode_1,2.42185640335083,,
gpt-4o,28,foo54,False,no_syntax,43.1,11150,3
gpt-4o,29,foo60,False,returncode_1,2.7562077045440674,,
gpt-4o,30,foo70,True,pass,10.94,3665,1
gpt-4o,31,foo3,False,returncode_1,3.0551352500915527,,
gpt-4o,32,foo4,False,returncode_1,3.070709466934204,,
gpt-4o,33,foo5,True,pass,1.14,0,0
gpt-4o,34,foo10,True,pass,1.13,0,0
gpt-4o,35,foo39,True,pass,16.86,3686,1
gpt-4o,36,foo46,False,returncode_1,3.0949866771698,,
gpt-4o,37,foo57,True,pass,19.37,6643,2
gpt-4o,38,foo112,False,no_syntax,39.17,3478,1
gpt-4o,39,foo113,False,no_syntax,17.06,3540,1
gpt-4o,40,foo114,False,no_syntax,10.15,3095,1
gpt-4o,41,foo115,False,no_syntax,11.14,3506,1
gpt-4o,42,foo117,False,no_syntax,14.98,3554,1
gpt-4o,43,foo118,True,pass,162.32,7685,2
gpt-4o,44,foo119,True,pass,159.84,12627,3
gpt-4o,45,foo120,True,pass,51.95,3463,1
gpt-4o,46,foo121,False,no_syntax,14.39,3549,1
gpt-4o,47,foo122,False,no_syntax,15.24,2713,1
gpt-4o,48,foo124,False,no_syntax,12.36,2888,1
gpt-4o,49,foo156,True,pass,62.21,3179,1
gpt-4o,50,foo162,True,pass,56.47,3008,1
gpt-4o,51,foo168,True,pass,39.95,2774,1
gpt-4o,52,foo169,True,pass,79.57,7215,2
gpt-4o,53,foo213,False,no_syntax,7.66,2601,1
gpt-4o,54,foo214,False,no_syntax,8.99,2596,1
gpt-4o,55,foo219,True,pass,55.56,2609,1
gpt-4o,56,foo228,False,no_valid,14.92,2718,1
gpt-4o,57,foo229,False,no_syntax,22.73,2979,1
gpt-4o,58,foo230,False,no_syntax,11.32,2841,1
gpt-4o,59,foo231,False,no_valid,102.0,2793,1
gpt-4o,60,foo234,False,no_syntax,11.16,2929,1
gpt-4o,61,foo235,True,pass,17.31,2903,1
gpt-4o,62,foo236,False,no_syntax,16.58,2929,1
gpt-4o,63,foo241,True,pass,66.25,2753,1
gpt-4o,64,foo242,True,pass,49.94,2742,1
gpt-4o,65,foo253,False,no_syntax,7.47,2900,1
gpt-4o,66,foo276,False,no_syntax,23.57,10209,3
gpt-4o,67,foo295,False,no_syntax,91.38,11098,3
gpt-4o,68,foo301,True,pass,70.09,2811,1
gpt-4o,69,foo302,True,pass,93.84,7681,2
gpt-4o,70,foo303,True,pass,43.63,3630,1
gpt-4o,71,foo304,True,pass,65.08,7079,2
gpt-4o,72,foo306,True,pass,77.06,3543,1
gpt-4o,73,foo307,False,returncode_1,18.229301691055298,,
gpt-4o,74,foo308,False,no_syntax,33.18,3833,1
gpt-4o,75,foo309,True,pass,190.34,4335,1
gpt-4o,76,foo356,True,pass,17.55,2598,1
gpt-4o,77,foo357,False,no_syntax,12.08,2611,1
gpt-4o,78,foo358,False,no_syntax,9.55,2628,1
gpt-4o,79,foo359,False,returncode_1,17.38932704925537,,
gpt-4o,80,foo360,False,returncode_1,22.190866231918335,,
gpt-4o,81,foo361,False,returncode_1,21.28593945503235,,
gpt-4o,82,foo388,False,returncode_1,20.155654191970825,,
gpt-4o,83,foo389,False,returncode_1,15.368306636810303,,
gpt-4o,84,foo391,False,returncode_1,13.928806781768799,,
gpt-4o,85,foo392,False,no_syntax,72.89,11785,3
gpt-4o,86,foo394,False,no_syntax,166.2,11142,3
gpt-4o,87,foo395,True,pass,61.64,6985,2
gpt-4o,88,foo396,False,no_syntax,144.15,11433,3
gpt-4o,89,foo397,False,no_syntax,145.11,11386,3
gpt-4o,90,foo398,False,no_syntax,61.19,11181,3
gpt-4o,91,foo7,False,no_syntax,59.52,12775,3
gpt-4o,92,foo8,True,pass,23.57,4083,1
gpt-4o,93,foo9,False,returncode_1,3.152338981628418,,
gpt-4o,94,foo10,True,pass,1.06,0,0
gpt-4o,95,foo12,True,pass,116.06,7096,2
gpt-4o,96,foo13,True,pass,10.4,0,0
gpt-4o,97,foo14,False,no_syntax,80.56,14917,4
gpt-4o,98,foo15,False,no_syntax,81.98,15026,4
gpt-4o,99,foo16,False,no_syntax,80.08,14871,4
gpt-4o,100,foo18,True,pass,27.29,3472,1
gpt-4o,101,foo20,True,pass,110.62,8043,2
gpt-4o,102,foo21,False,no_syntax,72.63,13308,3
gpt-4o,103,foo23,False,no_syntax,69.3,13714,3
gpt-4o,104,foo24,False,no_syntax,59.87,13746,3
gpt-4o,105,foo26,False,returncode_1,1.9439029693603516,,
gpt-4o,106,foo27,False,no_syntax,148.69,13424,3
gpt-4o,107,foo28,True,pass,124.47,8218,2
gpt-4o,108,foo29,True,pass,1.41,0,0
gpt-4o,109,foo30,True,pass,1.14,0,0
gpt-4o,110,foo31,False,no_syntax,53.35,12071,3
gpt-4o,111,foo34,False,no_syntax,55.64,12266,3
gpt-4o,112,foo35,False,returncode_1,3.026491641998291,,
gpt-4o,113,foo36,False,returncode_1,2.738058090209961,,
gpt-4o,114,foo37,False,no_syntax,43.21,8657,2
gpt-4o,115,foo38,False,no_syntax,129.05,13055,3
gpt-4o,116,foo39,True,pass,25.01,3671,1
gpt-4o,117,foo40,False,no_syntax,49.84,11340,4
gpt-4o,118,foo41,False,no_syntax,54.84,11305,4
gpt-4o,119,foo42,True,pass,149.11,6838,2
gpt-4o,120,foo43,False,no_syntax,168.33,13061,3
gpt-4o,121,foo44,False,no_syntax,149.91,11988,3
gpt-4o,122,foo45,False,no_syntax,73.53,12372,3
gpt-4o,123,foo46,False,returncode_1,3.2893588542938232,,
gpt-4o,124,foo47,False,no_syntax,45.83,12290,3
gpt-4o,125,foo48,False,returncode_1,2.8574862480163574,,
gpt-4o,126,foo49,False,returncode_1,3.2032132148742676,,
gpt-4o,127,foo50,False,returncode_1,4.355724573135376,,
gpt-4o,128,foo51,True,pass,2.45,0,0
gpt-4o,129,foo52,False,no_syntax,60.19,13397,3
gpt-4o,130,foo53,False,no_syntax,48.84,11452,3
gpt-4o,131,foo54,False,no_syntax,46.23,11296,3
gpt-4o,132,foo55,False,no_syntax,38.8,11268,3
gpt-4o,133,foo56,False,returncode_1,2.288980484008789,,
gpt-4o,134,foo58,False,no_syntax,83.07,14205,4
gpt-4o,135,foo59,False,returncode_1,2.2278695106506348,,
gpt-4o,136,foo60,False,returncode_1,2.0610930919647217,,
gpt-4o,137,foo62,True,pass,1.04,0,0
gpt-4o,138,foo63,True,pass,1.79,0,0
gpt-4o,139,foo64,False,no_syntax,114.96,13326,3
