"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"33","33","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/33/foo5.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/33/SVCOMP_0006_merged.c","foo5","arithmeticException6","","","1","A_stronger","A implies B's two conditional postconditions and additionally states the behavior partition is complete and disjoint, which is extra non-trivial information not present in B.","gpt-5.4"
"128","128","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/128/foo51.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/128/SpecGenBench_0324_merged.c","foo51","isLeapYear","","","1","A_stronger","A fully characterizes the result with bidirectional equivalences and explicitly constrains it to be boolean, while B only gives one-way case implications that are logically implied by A and add no non-trivial fact beyond A.","gpt-5.4"
"103","103","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/103/foo23_c103.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/103/SpecGenBench_0295_merged.c","foo23_c103","divisorGame","","","1","A_stronger","A fully characterizes the result as exactly the parity test (including both directions and boolean range), which implies B's two one-way postconditions, while B does not state the converse facts explicitly.","gpt-5.4"
"92","92","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/92/foo92.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/92/SpecGenBench_0276_merged.c","foo92","calculate","","","1","A_stronger","A entails all of B's case-by-case postconditions and additionally states a nontrivial precondition excluding division/modulo by zero together with complete/disjoint behavior partitioning, which B lacks.","gpt-5.4"
"138","138","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/138/foo63.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/138/SpecGenBench_0339_merged.c","foo63","notCommonFactor","","","1","A_stronger","A fully characterizes the result with bidirectional conditions and restricts it to {0,1}, which implies all three one-way postconditions in B, while B lacks the converse implications and the explicit result-range fact.","gpt-5.4"
"139","139","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/139/foo64_c139.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/139/SpecGenBench_0340_merged.c","foo64_c139","NotCommonMultiple","","","1","A_stronger","A fully characterizes the result with bidirectional equivalences and the range fact \\result==0||\\result==1, which together imply B's three one-way cases, while B lacks the converse/nonzero-range information.","gpt-5.4"
"96","96","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/96/foo13.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/96/SpecGenBench_0282_merged.c","foo13","computeOverlapArea","","","1","B_stronger","B gives many case-specific equalities determining the exact returned area for substantial regions of the input space, whereas A only provides a single coarse upper bound on the result, so B implies strictly more non-trivial postcondition facts than A.","gpt-5.4"
"118","118","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/118/foo118.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/118/SpecGenBench_0313_merged.c","foo118","isCommonMultiple","","","1","A_stronger","A gives the full bi-implication between the result and whether m is divisible by both a and b, plus restricts the result to {0,1}, whereas B only provides one-way case implications that are all entailed by A.","gpt-5.4"
"108","108","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/108/foo29.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/108/SpecGenBench_0301_merged.c","foo29","fizzBuzz","","","1","A_stronger","A includes all four case-based implications from B and additionally gives exact equivalences and range/value characterizations such as the formula for \\result and iff links between each result value and the divisibility conditions.","gpt-5.4"
"109","109","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5-mini/109/foo30.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-5-mini/109/SpecGenBench_0302_merged.c","foo30","fizzBuzz","","","1","A_stronger","A implies all four case-split postconditions of B and additionally gives nontrivial converse/exhaustiveness facts such as the exact formula for \\result, the restricted result set, and biconditionals linking each return value to the divisibility cases.","gpt-5.4"
