"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"103","103","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/103/foo103.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/103/SpecGenBench_0295_merged.c","foo103","divisorGame","","","1","A_stronger","A fully characterizes the result with bidirectional equivalences (including that \\\\result equals the boolean parity test), which implies B's one-way implications, while B lacks the converse facts.","gpt-5.4"
"96","96","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/96/foo13.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/96/SpecGenBench_0282_merged.c","foo13","computeOverlapArea","","","1","A_stronger","A gives a single unconditional exact formula for the result over its input domain, while B only provides many conditional equalities for some geometric cases and thus does not characterize all behaviors that A does.","gpt-5.4"
"129","129","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/129/foo129.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/129/SpecGenBench_0325_merged.c","foo129","isLeapYear","","","1","A_stronger","A implies all four case-split postconditions of B and additionally gives the full bi-implication characterizing exactly when the result is 1 or 0, which B lacks.","gpt-5.4"
"31","31","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/31/foo31.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/31/SVCOMP_0004_merged.c","foo31","arithmeticException1","","","1","A_stronger","A implies B because it fully determines the result as \\result == (i != 0 ? 1 : 0), and it also contains the additional non-trivial precondition requires i != 0 that B lacks.","gpt-5.4"
"143","143","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/143/foo143.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/143/SpecGenBench_0344_merged.c","foo143","passPillow","","","1","A_stronger","A implies B by giving the exact same conditional result formula in unconditional ternary form and additionally constrains the result to lie in [1,n], while B lacks those explicit range guarantees.","gpt-5.4"
"128","128","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/128/foo51.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/128/SpecGenBench_0324_merged.c","foo51","isLeapYear","","","1","A_stronger","A gives a full bi-implication characterizing exactly when the result is 1 or 0, which entails all four case-based implications in B, while B only gives one-way implications and lacks the converse/exhaustive characterization.","gpt-5.4"
"35","35","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/35/foo39.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/35/SVCOMP_0193_merged.c","foo39","fun","","","1","B_stronger","B is strictly stronger because it adds the non-trivial postcondition that the result equals the exact expression computed from input, while A only specifies assigns \\nothing.","gpt-5.4"
"100","100","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/100/foo18.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/100/SpecGenBench_0289_merged.c","foo18","convertTemperature","","","1","equal","Both contracts contain only the same trivial precondition and frame condition with no postconditions, so they express the same facts about input-output behavior.","gpt-5.4"
"240","240","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/240/foo240.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/240/FormalBench_0099_merged.c","foo240","evenBinomialCoeffSum","","","1","incomparable","A guarantees the postcondition \\result % 2 == 0 via its outer-loop invariant at loop exit, while B guarantees the distinct postcondition \\result >= 1, and neither fact implies the other.","gpt-5.4"
"144","144","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/144/foo144.c","/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/144/SpecGenBench_0345_merged.c","foo144","passPillow","","","1","B_stronger","B precisely defines the result by case analysis from the pre-state inputs, which implies A's mere range bound on the result, while A adds no non-trivial postcondition beyond that bound.","gpt-5.4"
