model,case_id,sespec_path,baseline_path
gpt-4o,31,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/31/foo31.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/31/SVCOMP_0004_merged.c
gpt-4o,32,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/32/foo32.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/32/SVCOMP_0005_merged.c
gpt-4o,33,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/33/foo5.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/33/SVCOMP_0006_merged.c
gpt-4o,35,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/35/foo39.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/35/SVCOMP_0193_merged.c
gpt-4o,94,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/94/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/94/SpecGenBench_0278_merged.c
gpt-4o,96,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/96/foo13.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/96/SpecGenBench_0282_merged.c
gpt-4o,97,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/97/foo97.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/97/SpecGenBench_0283_merged.c
gpt-4o,98,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/98/foo98.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/98/SpecGenBench_0284_merged.c
gpt-4o,99,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/99/foo99.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/99/SpecGenBench_0285_merged.c
gpt-4o,100,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/100/foo18.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/100/SpecGenBench_0289_merged.c
gpt-4o,103,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/103/foo103.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/103/SpecGenBench_0295_merged.c
gpt-4o,108,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/108/foo29.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/108/SpecGenBench_0301_merged.c
gpt-4o,109,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/109/foo30.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/109/SpecGenBench_0302_merged.c
gpt-4o,110,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/110/foo110.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/110/SpecGenBench_0303_merged.c
gpt-4o,115,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/115/foo115.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/115/SpecGenBench_0310_merged.c
gpt-4o,116,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/116/foo116.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/116/SpecGenBench_0311_merged.c
gpt-4o,117,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/117/foo117.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/117/SpecGenBench_0312_merged.c
gpt-4o,118,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/118/foo118.c,/home/yangfp/SESpec/RESULTS/paper_data_final/AutoSpec/gpt-4o/118/SpecGenBench_0313_merged.c
