"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"100","100","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/100/foo100.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/100/final_candidate.java","foo100","convertTemperature","","","1","A_stronger","A specifies the exact return value as a function of the input, while B's postconditions are only tautologies and therefore imply no non-trivial input-output property.","gpt-5.4"
"95","95","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/95/foo95.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/95/final_candidate.java","foo95","arrcmp","","","1","B_stronger","B entails A’s core equivalence when restricted to equal lengths and additionally specifies boolean-valued result bounds and the existence of a mismatching index on false, while A does not provide these extra postcondition facts.","gpt-5.4"
"141","141","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/141/foo66.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/141/final_candidate.java","foo66","numberOfCuts","","","1","equal","Both contracts state exactly the same three case-split postconditions for all inputs, differing only by syntactic reordering and language notation.","gpt-5.4"
"103","103","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/103/foo103.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/103/final_candidate.java","foo103","divisorGame","","","1","equal","A's postcondition '\\result <==> (n % 2 == 0)' is logically equivalent to B's two postconditions stating even n yields result 1 and odd n yields result 0, since the C function returns a boolean-as-int 0/1 value.","gpt-5.4"
"144","144","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/144/foo144.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/144/final_candidate.java","foo144","passPillow","","","1","B_stronger","B precisely defines the result by cases as a function of the inputs, which implies A's simple range postcondition under the verified setting, while A does not imply B.","gpt-5.4"
"116","116","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/116/foo116.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/116/final_candidate.java","foo116","isCommonFactor","","","1","A_stronger","A exactly characterizes the result as true iff both divisibility conditions hold, which implies all three case-split postconditions in B, while B lacks the converse fact that result 1 can occur only when both a and b are divisible by factor.","gpt-5.4"
"134","134","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/134/foo134.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/134/final_candidate.java","foo134","mulNested","","","1","B_stronger","B includes A's main postcondition \\result == x * y and adds non-trivial extra postconditions about zero and sign cases (while its added loop invariants do not weaken anything), so B logically implies A but not conversely.","gpt-5.4"
"93","93","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/93/foo93.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/93/final_candidate.java","foo93","calculate","","","1","B_stronger","B includes all of A's substantive postconditions and additionally specifies the '+' case result, while A omits any postcondition for operator '+' and its precondition does not make the two contracts incomparable under the rubric.","gpt-5.4"
"108","108","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/108/foo29.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/108/final_candidate.java","foo29","fizzBuzz","","","1","A_stronger","A is stronger because its biconditional postconditions imply all four directional case postconditions of B and additionally constrain the converse, ruling out each result value outside its corresponding divisibility case.","gpt-5.4"
"136","136","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/136/foo136.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/136/final_candidate.java","foo136","mySqrt","","","1","A_stronger","For the relevant case x>=0, A implies B's postconditions and additionally guarantees the stronger fact \\result * \\result <= x + 1 (via (long)\\result*(long)\\result - 1 <= x, together with \\result>=-1), which B does not express.","gpt-5.4"
"145","145","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/145/foo145.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/145/final_candidate.java","foo145","Perimeter","","","1","equal","For the shared 4-argument function, both contracts specify the same functional postcondition that the result equals the sum of the four inputs cast to long/long long, and B's duplicated \\old-based clause adds no non-trivial information.","gpt-5.4"
"115","115","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/115/foo115.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/115/final_candidate.java","foo115","isCommonFactor","","","1","A_stronger","A exactly characterizes the result with a biconditional and also includes the necessary nonzero-factor precondition, whereas B only gives a case split implying when the result must be 0 or 1 and does not state the full equivalence explicitly.","gpt-5.4"
"143","143","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5.4-mini/143/foo143.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5.4-mini/143/final_candidate.java","foo143","passPillow","","","1","B_stronger","B precisely defines the returned value by cases in terms of the original time, whereas A only states the coarse range 1 <= result <= n, so B implies A for valid executions and adds non-trivial facts A lacks.","gpt-5.4"
