model,case_id,sespec_path,baseline_path
gpt-4o,92,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/92/foo8.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/92/final_candidate.java
gpt-4o,93,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/93/foo93.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/93/final_candidate.java
gpt-4o,94,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/94/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/94/final_candidate.java
gpt-4o,95,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/95/foo12.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/95/final_candidate.java
gpt-4o,98,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/98/foo98.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/98/final_candidate.java
gpt-4o,99,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/99/foo99.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/99/final_candidate.java
gpt-4o,100,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/100/foo18.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/100/final_candidate.java
gpt-4o,103,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/103/foo103.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/103/final_candidate.java
gpt-4o,108,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/108/foo29.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/108/final_candidate.java
gpt-4o,109,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/109/foo30.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/109/final_candidate.java
gpt-4o,110,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/110/foo110.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/110/final_candidate.java
gpt-4o,115,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/115/foo115.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/115/final_candidate.java
gpt-4o,116,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/116/foo116.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/116/final_candidate.java
gpt-4o,117,/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-4o/117/foo117.c,/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-4o/117/final_candidate.java
