case_id,archive_case_id,verdict,reason
4,SVCOMP_0084,A_stronger,"A’s contract is more informative because it precisely characterizes the recursive step count as (1 << n) - 1 for all n>=1, whereas B uses the weaker recursive logic hanoi_steps(n) that is only equival"
5,SVCOMP_0092,B_stronger,"B specifies a much more detailed partial-search behavior for the array function, including exact result conditions, sortedness-preserving framing, and count-preservation properties, whereas A only sta"
15,SVCOMP_0008,B_stronger,"B is strictly more informative because it constrains the returned value to either -1 or a valid array index containing key, while A only describes three cases for size and does not characterize any co"
16,SVCOMP_0009,B_stronger,"B precisely specifies the result for all supported operators and the fallback case, while A only characterizes three coarse return values via size-related cases and is less informative about the funct"
24,SVCOMP_0205,B_stronger,"B states a real functional behavior via loop invariants over the scan state and preserves the input parameters, whereas A only contains unrelated arithmetic assertions and no meaningful postcondition "
25,SVCOMP_0208,B_stronger,"B specifies concrete input-dependent behavior via loop invariants tying the returned count to the minimum of the array prefix, while A only states the trivial precondition that args is non-null and an"
28,SVCOMP_0233,incomparable,"A precisely states the boolean result of `f`, while B gives a stronger numeric specification for `foo54` including a recursive max postcondition and loop invariants; they describe different functions "
33,SVCOMP_0006,equal,"Both contracts state the same bidirectional behavior: the result is false/0 exactly when denom==0 and true/1 exactly when denom!=0, with no additional non-trivial postconditions."
34,SVCOMP_0026,incomparable,"A specifies only the zero-denominator saturation behavior, while B fully characterizes the return value for all inputs via the modulo-4 cases, so each has a fact the other lacks and neither contract i"
35,SVCOMP_0193,A_stronger,"A implies B’s return value characterization once its stronger state relation c == (char)(input*2+1) is used, and A additionally constrains the global side effect on c, which B does not mention."
92,SpecGenBench_0276,A_stronger,"A is stricter because it adds the precondition restricting operators to the five handled cases and requires nonzero divisors for '/' and '%', while B leaves inputs unconstrained except via conditional"
94,SpecGenBench_0278,B_stronger,"B states the result in both directions (result is 1 exactly when n%4!=0 and 0 exactly when n%4==0), which more precisely characterizes the output than A's single boolean equivalence."
95,SpecGenBench_0281,B_stronger,"B states a more precise output condition for the equality case via the explicit one-way postcondition and loop invariants tracking unchanged suffixes, while A only gives the full boolean equivalence w"
100,SpecGenBench_0289,equal,"A and B specify the same functional behavior: both characterize the return value as exactly celsius * 1.80 + 32.00, and B adds only an equivalent frame condition with no extra postcondition content."
101,SpecGenBench_0292,incomparable,"A precisely states that every element in [iBegin,iEnd) is copied from b to a, while B states the same kind of segment-copy fact but additionally constrains untouched parts of a and several loop/frame "
103,SpecGenBench_0295,B_stronger,"B is far more informative because it specifies detailed preservation of array contents, bounds, and loop invariants in addition to preconditions, whereas A only states the boolean parity postcondition"
107,SpecGenBench_0300,B_stronger,"B implies the same basic search-result guarantees as A but adds stronger behavioral constraints from sortedness and the exact first-occurrence logic (via the postcondition and loop invariants), wherea"
108,SpecGenBench_0301,equal,"Both contracts specify the same complete case split on n mod 3 and n mod 5, yielding exactly the same four possible results; A states the cases with equivalences and a range restriction, while B state"
109,SpecGenBench_0302,equal,"Both contracts state the same four exhaustive cases for the return value based on divisibility by 3 and 5, just in different syntactic forms."
110,SpecGenBench_0303,A_stronger,A subsumes B’s zero-case postconditions and loop facts while adding the stronger exact characterization — in particular the result=-1 and result=max-on-one-zero cases plus the explicit divisibility/ma
115,SpecGenBench_0310,A_stronger,"A fully characterizes the result as exactly the boolean test `(a % factor == 0 && b % factor == 0)`, while B only gives range and preservation properties plus a weak existential postcondition, so A im"
116,SpecGenBench_0311,equal,"Both contracts fully characterize the boolean result as exactly the predicate being tested by the implementation, with no additional behavioral facts in either one beyond the required nonzero/divisibi"
117,SpecGenBench_0312,incomparable,"A specifies a precise boolean characterization of common-multiple checking under nonzero divisors, while B specifies a different recursive integer function with exact behavior for negative, zero, and "
118,SpecGenBench_0313,A_stronger,"A precisely specifies the boolean result as equivalent to both divisibility conditions, while B only specifies a sign test via a helper logic function, so A contains the stronger and more informative "
119,SpecGenBench_0314,B_stronger,"B implies the descending-property postcondition of A via its loop invariant and result convention, and B additionally states stronger preconditions and an unchanged-array invariant that A lacks."
120,SpecGenBench_0315,B_stronger,"B is more informative because it includes the loop invariants that characterize the accumulated monotonicity properties of the prefix, while A only states the final boolean relation (inc || dec) witho"
128,SpecGenBench_0324,B_stronger,"B is more informative because it splits the leap-year behavior into exhaustive, case-specific implications for esult, while A states only the single equivalence to the combined predicate."
129,SpecGenBench_0325,A_stronger,"A precisely characterizes the return value as the leap-year predicate, while B only states that the input array is unchanged and gives no meaningful postcondition about the returned integer beyond fra"
131,SpecGenBench_0329,B_stronger,"B implies A’s empty/non-empty max-result behavior and adds the stronger exact characterization via the recursive max_value definition plus the loop invariant res == max_value(a,0,i), which A lacks."
132,SpecGenBench_0330,A_stronger,"A specifies the empty-array behavior and the postcondition that the result is a lower bound of all elements, while B requires a nonempty valid array and gives a recursive exact minimum characterizatio"
134,SpecGenBench_0333,B_stronger,"B implies A’s postcondition and adds non-trivial loop invariants tying sign, m, and n to the original inputs, so B more precisely characterizes the computation."
137,SpecGenBench_0338,equal,"Both contracts characterize the same boolean result: the return value is 1/true exactly when at least one of the two remainders is nonzero, and 0/false only when both are zero; B states this in case-s"
138,SpecGenBench_0339,equal,"Both contracts characterize the same behavior: the result is 1/true exactly when at least one of a or b is not divisible by factor, and 0/false exactly when both are divisible by factor; the only extr"
139,SpecGenBench_0340,B_stronger,"B is more informative because it specifies concrete input validity/range constraints and the loop’s exact progress bounds, while A only states a simple boolean result equivalence with a basic positivi"
140,SpecGenBench_0341,equal,"The two contracts state the same three conditional postconditions with only syntactic differences in the antecedents and frame notation, so neither adds a non-trivial fact over the other."
141,SpecGenBench_0342,equal,"Both contracts state the same three behavioral cases for n==1, even n>1, and odd n>1; the only difference is syntactic rearrangement and a logically equivalent guard (n>1 vs n!=1 under the other parit"
142,SpecGenBench_0343,B_stronger,"B is much more informative because it includes preservation/frame and loop-invariant facts plus a precise return relation, while A only states simple parity equivalences for two trivial methods."
143,SpecGenBench_0344,B_stronger,"B contains all of A’s non-trivial output fact only if specialized to this unrelated function is impossible, but as given B has strictly more behavioral information via detailed preconditions, loop inv"
144,SpecGenBench_0345,B_stronger,"B states a much more specific functional property via the loop invariants and postcondition that characterize the returned value as the integer square-root boundary, whereas A only gives a range and b"
145,SpecGenBench_0346,incomparable,"A specifies six overloaded perimeter functions with several exact arithmetic postconditions, while B specifies only the 4-argument function’s behavior, so neither contract’s ensures imply the other’s "
146,SpecGenBench_0350,A_stronger,"A includes the extra postcondition that non-positive inputs return false, while B only captures the positive-input/loop behavior, and the common loop facts do not make B stronger than A."
148,SpecGenBench_0354,A_stronger,"A fully characterizes the result as true exactly for positive powers of two and false otherwise, while B only states two sufficient conditions for returning 0 and does not provide the full bicondition"
170,FormalBench_0021,B_stronger,"B includes all of A’s behavioral postcondition content and adds a strictly stronger, more precise disjunctive result characterization by allowing both descending-neighbor cases and explicitly constrai"
173,FormalBench_0024,B_stronger,"B has the same merge-kth-selection behavior implied by A’s contract, but also adds non-trivial frame and loop-preservation facts that the arrays and parameters remain unchanged, making it more informa"
174,FormalBench_0025,incomparable,"A specifies the returned rotation index and a loop invariant supporting that behavior, while B specifies an exact effect on the global counter via a recursive recurrence; neither contract logically im"
176,FormalBench_0027,B_stronger,"B is strictly more informative because it includes A’s successful-result behavior plus additional precise facts such as the -1 case, explicit sortedness/validity/length preconditions, and stronger loo"
177,FormalBench_0028,incomparable,"A and B both specify sorted-search behavior and the last-occurrence result, but A lacks B’s uniqueness and bounded-length assumptions while B lacks A’s explicit nonnegativity/length-null constraints a"
178,FormalBench_0032,A_stronger,"A states the sortedness of both input prefixes and the k-bounded selection behavior via the loop condition and return value, while B mainly adds frame/invariant bookkeeping and weaker preconditions wi"
179,FormalBench_0034,incomparable,"A specifies a precise rotated-sorted output property and bounds on the returned rotation index, while B specifies a different equality/early-failure behavior with preservation of inputs; neither contr"
185,FormalBench_0040,B_stronger,"B precisely specifies the recursive input-output relation — returning 1 at 0, recursing by decrement for positive inputs, and 0 for negatives via foo40_logic — while A only states a binary-search-styl"
189,FormalBench_0047,B_stronger,"B implies A’s result property via the stronger invariant that `min` is exactly the minimum over the scanned prefix, while B additionally states the full recursive minimum characterization and explicit"
193,FormalBench_0051,B_stronger,"B precisely characterizes the return value by exhaustive, mutually exclusive leap-year cases, while A only states the result is nonnegative and leaves the actual computed behavior largely unspecified."
203,FormalBench_0061,B_stronger,"B implies all of A’s nontrivial output facts (\result >= 0) and adds stronger postconditions (\result <= Array, array unchanged) plus tighter loop invariants, so B is the more informative contract."
204,FormalBench_0062,B_stronger,"B gives a complete case split that fully characterizes the Boolean return value from divisibility tests, while A only states nonnegativity of the result and weak loop invariants that do not determine "
205,FormalBench_0063,A_stronger,"A specifies a more detailed input-output relation (valid index, prefix equality, and identifying the extra element) than B, whose postconditions only characterize a simple divisibility-based boolean r"
206,FormalBench_0064,A_stronger,"A gives a precise functional specification of the returned index and how it relates to the two arrays, while B only bounds the result and provides mostly framing/invariant information without characte"
207,FormalBench_0065,equal,"Both contracts precisely specify the same piecewise input-output behavior of their functions, with A characterizing the unique extra index in two sorted arrays and B characterizing a simple parity/edg"
211,FormalBench_0070,B_stronger,"B precisely specifies the exact returned sum, while A only states nonnegativity plus a vacuous/very weak equality-related condition and thus contains far less functional information."
212,FormalBench_0071,A_stronger,"A gives a concrete result bound tied to the array length and the loop establishes a specific binary-search-style convergence to an index, while B is mostly a frame-preservation contract with only weak"
215,FormalBench_0074,A_stronger,"A specifies the binary-search postcondition that the result is either -1 or a valid matching index in the searched prefix, while B only constrains foo74 to preserve n and return whether repeated divis"
218,FormalBench_0077,A_stronger,"A specifies sorted-input requirements plus detailed postconditions about exact return values, absence of matches, and first-occurrence behavior, while B only constrains the nonpositive-input case and "
219,FormalBench_0078,B_stronger,"B is more informative because it specifies the exact primality-style result characterization via existential/universal divisibility conditions and supporting loop invariants, whereas A only specifies "
220,FormalBench_0079,A_stronger,"A implies the usual binary-search postcondition that the result is either -1 or an in-bounds matching index, while B provides only preconditions and loop bounds plus a weaker sortedness/length setup, "
236,FormalBench_0095,B_stronger,"B is stronger because it includes A’s core sortedness/range behavior plus additional precise invariants about the search bounds and preserved state, while A’s postcondition is comparatively weaker and"
237,FormalBench_0096,B_stronger,"B implies A’s return-behavior guarantee and additionally states memory validity, frame conditions, explicit preservation/invariance facts, and a stronger sortedness assumption, while A lacks most of t"
