weak_input_path,bench,case_id,models_failed,models,weak_hits,categories,example_reason,source,example_summary,example_candidate
input/weak/FormalBench_10.c,FormalBench,10,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics;vacuous,"Missing function-level postcondition for a non-void function, and the loop invariants are far too weak (only bounds) to characterize the array transformation or returned value.",/home/yangfp/SESpec/src/input/FormalBench/10.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/10/20260504_003918_100953_4b082bf4/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/10/20260504_003918_100953_4b082bf4/foo10.c
input/weak/FormalBench_11.c,FormalBench,11,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"Missing function-level postcondition for a non-void function, and the loop invariants are far too weak to characterize the first loop’s effect on positions or justify the returned value.",/home/yangfp/SESpec/src/input/FormalBench/11.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/11/20260504_004350_100953_f32eaa7c/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/11/20260504_004350_100953_f32eaa7c/foo11.c
input/weak/FormalBench_12.c,FormalBench,12,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics;vacuous,"Missing function-level postcondition for the non-void function, and the loop invariants are too weak to determine the computed return value or full effect on positions.",/home/yangfp/SESpec/src/input/FormalBench/12.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/12/20260504_005834_100953_90028305/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/12/20260504_005834_100953_90028305/foo12.c
input/weak/FormalBench_13.c,FormalBench,13,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;missing_effect_semantics;weak_loop_invariant;vacuous,"Missing function-level postcondition for non-void function, and loop invariants are far too weak: they only preserve bounds/validity and do not specify the effect on arr or what value is returned.",/home/yangfp/SESpec/src/input/FormalBench/13.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/13/20260504_011437_100953_c0d2f3e1/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/13/20260504_011437_100953_c0d2f3e1/foo13.c
input/weak/FormalBench_20.c,FormalBench,20,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"Missing function-level postcondition for this non-void function, and the loop invariants give only bounds on r/stop without specifying the computed return value or full loop effect.",/home/yangfp/SESpec/src/input/FormalBench/20.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/20/20260504_020844_100953_c2a1cd2b/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/20/20260504_020844_100953_c2a1cd2b/foo20.c
input/weak/FormalBench_22.c,FormalBench,22,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"Missing function postcondition for a non-void function, and the loop invariant `result + tmp == count` is far too weak to characterize which element is returned or the full loop effect.",/home/yangfp/SESpec/src/input/FormalBench/22.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/22/20260504_021819_100953_73498ef9/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/22/20260504_021819_100953_73498ef9/foo22.c
input/weak/FormalBench_23.c,FormalBench,23,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,Function has a return value but no ensures/postcondition describing the returned result; the lone loop invariant `s + result == count` is far too weak to specify what value is computed.,/home/yangfp/SESpec/src/input/FormalBench/23.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/23/20260504_022328_100953_86b2dea5/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/23/20260504_022328_100953_86b2dea5/foo23.c
input/weak/FormalBench_24.c,FormalBench,24,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"Missing function-level postcondition for a non-void function, and the loop invariants give only bounds/relations on counters, not the full computed return behavior.",/home/yangfp/SESpec/src/input/FormalBench/24.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/24/20260504_022816_100953_ec06ad66/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/24/20260504_022816_100953_ec06ad66/foo24.c
input/weak/FormalBench_26.c,FormalBench,26,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"Missing function-level postcondition for a non-void function, and the loop invariants are far too weak to characterize the search result or final return value.",/home/yangfp/SESpec/src/input/FormalBench/26.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/26/20260504_023750_100953_b47d8a13/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/26/20260504_023750_100953_b47d8a13/foo26.c
input/weak/FormalBench_27.c,FormalBench,27,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_return_semantics;missing_effect_semantics,"The function returns a value but has no postcondition/behavior contract describing what result is returned for found or not-found cases, so the semantics are not specified at all.",/home/yangfp/SESpec/src/input/FormalBench/27.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/27/20260504_024406_100953_89bd1038/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/27/20260504_024406_100953_89bd1038/foo27.c
input/weak/FormalBench_28.c,FormalBench,28,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"The function returns a value but has no postcondition describing the returned index or -1 case, and the loop invariant only gives simple bounds, not the full search semantics.",/home/yangfp/SESpec/src/input/FormalBench/28.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/28/20260504_025747_100953_459de1db/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/28/20260504_025747_100953_459de1db/foo28.c
input/weak/FormalBench_29.c,FormalBench,29,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_effect_semantics;missing_return_semantics;vacuous,"Missing function-level postcondition for a non-void function, and the loop invariant is far too weak to determine the returned value or full loop effect.",/home/yangfp/SESpec/src/input/FormalBench/29.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/29/20260504_031032_100953_90e2e0d3/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/29/20260504_031032_100953_90e2e0d3/foo29.c
input/weak/FormalBench_30.c,FormalBench,30,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_return_semantics;vacuous;missing_effect_semantics,"The only contract is `ensures \true;`, which imposes no behavioral constraint on the returned value, so the function semantics are completely unspecified.",/home/yangfp/SESpec/src/input/FormalBench/30.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/30/20260504_032002_100953_72870a81/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/30/20260504_032002_100953_72870a81/foo30.c
input/weak/FormalBench_31.c,FormalBench,31,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_return_semantics;vacuous;missing_effect_semantics,"The function has a return value but its only contract is `ensures \true;`, which imposes no behavioral constraint and does not describe the returned result or loop effect at all.",/home/yangfp/SESpec/src/input/FormalBench/31.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/31/20260504_032536_100953_41c47366/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/31/20260504_032536_100953_41c47366/foo31.c
input/weak/FormalBench_32.c,FormalBench,32,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"Missing function postcondition for this non-void function, and the loop invariants only track bounds/count relation, not the computed kth-merge semantics or returned value.",/home/yangfp/SESpec/src/input/FormalBench/32.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/32/20260504_033207_100953_5cbf941d/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/32/20260504_033207_100953_5cbf941d/foo32.c
input/weak/FormalBench_33.c,FormalBench,33,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_return_semantics;vacuous;missing_effect_semantics,"Missing function-level contract for a non-void function, and the loop invariants are far too weak to characterize what sum computes or the full effect of the loop.",/home/yangfp/SESpec/src/input/FormalBench/33.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/33/20260504_034111_100953_8489ace4/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/33/20260504_034111_100953_8489ace4/foo33.c
input/weak/FormalBench_34.c,FormalBench,34,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics;vacuous,"The function returns a value but has no postcondition describing that result, and the loop invariants give only bounds on r/top rather than the full computed relation, so the semantics are underspecified.",/home/yangfp/SESpec/src/input/FormalBench/34.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/34/20260504_034620_100953_0bacc191/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/34/20260504_034620_100953_0bacc191/foo34.c
input/weak/FormalBench_35.c,FormalBench,35,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_return_semantics;missing_effect_semantics;vacuous,"The function has a return value but the contract gives no postcondition describing the result, and the loop invariants are only simple bounds on r/top, far too weak to specify what the loop computes.",/home/yangfp/SESpec/src/input/FormalBench/35.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/35/20260504_035000_100953_a1cd1bd8/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/35/20260504_035000_100953_a1cd1bd8/foo35.c
input/weak/FormalBench_36.c,FormalBench,36,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics;vacuous,"The function has a return value but its contract gives no postcondition describing the result, and the loop invariant is far too weak to characterize what the loop computes.",/home/yangfp/SESpec/src/input/FormalBench/36.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/36/20260504_035431_100953_b55b77de/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/36/20260504_035431_100953_b55b77de/foo36.c
input/weak/FormalBench_37.c,FormalBench,37,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,weak_loop_invariant;missing_return_semantics;missing_effect_semantics;vacuous,"The function contract is vacuous and does not specify the returned index/search semantics, and the loop invariant only gives bounds, not the full effect of the binary search.",/home/yangfp/SESpec/src/input/FormalBench/37.c,results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/37/20260504_035736_100953_790a1b4a/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/FormalBench/gpt-5-mini/37/20260504_035736_100953_790a1b4a/foo37.c
input/weak/SV_COMP_4.c,SV_COMP,4,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;missing_effect_semantics,"The contract is semantically wrong/incomplete: it says assigns \nothing, but evaluating 10.0 / i can have observable behavior/undefinedness issues (e.g. division by zero), and the spec omits any precondition or behavior for those inputs.",/home/yangfp/SESpec/src/input/SV_COMP/4.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/4/20260503_051328_100953_ca9700a2/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/4/20260503_051328_100953_ca9700a2/foo4.c
input/weak/SV_COMP_7.c,SV_COMP,7,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant,The contract is incomplete: it specifies the -1 and 0 cases but omits the remaining behavior that for 0 <= size < 4 the function returns 1.,/home/yangfp/SESpec/src/input/SV_COMP/7.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/7/20260503_051407_100953_eefaf86c/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/7/20260503_051407_100953_eefaf86c/foo7.c
input/weak/SV_COMP_8.c,SV_COMP,8,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics,"The contract is incomplete: it specifies only the size<0 and size>=4 cases, but gives no behavior for 0<=size<4, where the function returns 1.",/home/yangfp/SESpec/src/input/SV_COMP/8.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/8/20260503_051509_100953_eb4a2da2/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/8/20260503_051509_100953_eb4a2da2/foo8.c
input/weak/SV_COMP_9.c,SV_COMP,9,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;weak_loop_invariant;missing_effect_semantics,"The contract is incomplete: it specifies only the out-of-bounds case (result 0) and omits the required behavior for valid indices, namely that the function returns 1.",/home/yangfp/SESpec/src/input/SV_COMP/9.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/9/20260503_051752_100953_198d1337/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/9/20260503_051752_100953_198d1337/foo9.c
input/weak/SV_COMP_10.c,SV_COMP,10,5,gpt-4o;gpt-5-mini;gpt-5-nano;gpt-5.4-mini;gpt-5.4-nano,5,missing_return_semantics;vacuous,The function returns a value but has no function-level contract (no ensures describing the returned result); `assigns \nothing` alone does not specify the semantics.,/home/yangfp/SESpec/src/input/SV_COMP/10.c,results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/10/20260503_051955_100953_54fcd9bc/summary.json,/home/yangfp/SESpec/src/results/matrix_runs/20260503_050609/sespec_default/SV_COMP/gpt-5-mini/10/20260503_051955_100953_54fcd9bc/foo10.c
