model,case_id,function_name,passed,failure_reason,total_seconds,total_tokens,calls,converged_iter
gpt-5.4-mini,0,foo0,True,pass,91.95,8019,3,2
gpt-5.4-mini,1,foo1,True,pass,56.98,7564,3,2
gpt-5.4-mini,2,foo2,True,pass,319.2,31180,14,
gpt-5.4-mini,3,foo3,True,pass,257.39,28497,12,
gpt-5.4-mini,4,foo4,True,pass,196.87,25900,12,
gpt-5.4-mini,5,foo5,True,pass,113.13,7425,3,2
gpt-5.4-mini,6,foo6,False,no_syntax,1892.86,383097,55,
gpt-5.4-mini,7,foo7,True,pass,107.58,7752,3,2
gpt-5.4-mini,8,foo8,True,pass,246.04,26936,8,2
gpt-5.4-mini,9,foo9,True,pass,168.62,18382,6,2
gpt-5.4-mini,10,foo10,True,pass,280.11,46154,15,2
gpt-5.4-mini,11,foo11,True,pass,268.01,25180,12,
gpt-5.4-mini,12,foo12,True,pass,423.59,24265,12,
gpt-5.4-mini,13,foo13,True,pass,101.23,8876,4,3
gpt-5.4-mini,14,foo14,True,pass,61.46,7081,3,2
gpt-5.4-mini,15,foo15,False,no_valid,1089.34,72699,24,
gpt-5.4-mini,16,foo16,True,pass,71.62,7934,3,2
gpt-5.4-mini,17,foo17,True,pass,289.54,47695,16,3
gpt-5.4-mini,18,foo18,True,pass,1645.46,147279,24,4
gpt-5.4-mini,19,foo19,True,pass,307.31,48882,15,2
gpt-5.4-mini,20,foo20,False,no_syntax,812.3,142172,32,
gpt-5.4-mini,21,foo21,False,no_syntax,870.45,184091,35,2
gpt-5.4-mini,22,foo22,True,pass,85.61,7163,3,2
gpt-5.4-mini,23,foo23,False,no_valid,570.64,90916,24,
gpt-5.4-mini,24,foo24,True,pass,140.38,28900,10,
gpt-5.4-mini,25,foo25,True,pass,170.01,8749,8,
gpt-5.4-mini,26,foo26,True,pass,196.81,18186,10,
gpt-5.4-mini,27,foo27,True,pass,253.22,26823,10,
gpt-5.4-mini,28,foo28,True,pass,133.16,13915,6,2
gpt-5.4-mini,29,foo29,False,no_valid,546.11,94095,24,
gpt-5.4-mini,30,foo30,False,no_syntax,105.24,7184,3,
gpt-5.4-mini,31,foo31,True,pass,26.67,4864,1,1
gpt-5.4-mini,32,foo32,True,pass,192.55,12917,9,
gpt-5.4-mini,33,foo33,True,pass,8.15,4863,1,1
gpt-5.4-mini,34,foo34,True,pass,103.11,8857,3,3
gpt-5.4-mini,35,foo35,True,pass,164.28,8956,4,4
