"sespec_case_id","baseline_case_id","sespec_path","baseline_path","sespec_func","baseline_func","signature","body_hash","case_id_aligned","verdict","reason","judge_model"
"7","7","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/7/foo29_c7.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/7/extracted_from_log.java","foo29_c7","mult","","","1","equal","A's two conditional postconditions together are equivalent to B's single postcondition stating the result is n times the absolute value of m, and neither contract adds any stronger functional input-output fact than the other.","gpt-5.4"
"1","1","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/1/foo2_c1.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/1/extracted_from_log.java","foo2_c1","addition","","","1","equal","Both contracts state the same functional postcondition and no additional non-trivial input-output fact distinguishes either one; B's requires/decreases clauses do not strengthen the functional characterization.","gpt-5.4"
"33","33","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/33/foo5_c33.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/33/extracted_from_log.java","foo5_c33","foo33","","","1","equal","Both contracts state exactly the same two postconditions characterizing the return value for denom==0 and denom!=0, and B's assigns \\nothing is ignored by the comparison rubric.","gpt-5.4"
"30","30","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/30/foo70_c30.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/30/extracted_from_log.java","foo70_c30","f","","","1","A_stronger","A guarantees the returned boolean is always true, while B's postcondition is merely \\true and thus conveys no functional input-output information.","gpt-5.4"
"4","4","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/4/foo25.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/4/extracted_from_log.java","foo25","foo25_helper1_c4","","","1","A_stronger","A gives a precise functional postcondition for foo4—exactly how counter changes and that from/to/via are unchanged—while B only states a nonnegative precondition, termination variant, and assigns clause with no input-output relation.","gpt-5.4"
"29","29","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/29/foo60.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/29/extracted_from_log.java","foo60","foo29","","","1","A_stronger","A guarantees the exact result value \\result == 1, which implies B's weaker disjunction \\result == 0 || \\result == 1, while B adds no stronger postcondition about the input-output behavior.","gpt-5.4"
"16","16","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/16/foo8_c16.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/16/extracted_from_log.java","foo8_c16","foo16","","","1","equal","Both contracts specify the same input-output partition and result values, since B's condition '(size >= 0 && size >= 4)' is equivalent to 'size >= 4' and the other ensures clauses match A exactly.","gpt-5.4"
"11","11","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/11/foo42_c12.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/11/extracted_from_log.java","foo42_c12","recursion","","","1","equal","A's postcondition \\result <==> i >= 0 is logically equivalent to B's \\result == (i < 0 ? 0 : 1), and B's decreases clause is about termination rather than additional input-output behavior.","gpt-5.4"
"37","37","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/37/foo57_c37.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/37/extracted_from_log.java","foo57_c37","foo57_helper1_c37","","","1","equal","Both contracts specify the same functional behavior for the relevant function and helper—no side effects and a return value exactly equal to 1—so neither contains any additional non-trivial postcondition fact over the other.","gpt-5.4"
"3","3","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/3/foo24_c3.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/3/extracted_from_log.java","foo24_c3","gcd","","","1","B_stronger","B exactly characterizes the result for all permitted positive inputs via equality to the recursive specification function, which implies A's positive/equal-case facts on that domain and adds strictly more information than A's coarse conditional postconditions.","gpt-5.4"
"12","12","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/12/foo42_c12.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/12/extracted_from_log.java","foo42_c12","recursion","","","1","equal","Both contracts specify exactly the same input-output relation—return true/1 iff the input is nonnegative—with no additional distinguishing postcondition facts beyond representational differences between boolean and integer results.","gpt-5.4"
"13","13","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/13/foo62_c13.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/13/extracted_from_log.java","foo62_c13","f","","","1","equal","A’s two postconditions together are equivalent to B’s single functional equation, both specifying exactly that the result is 0 for depth >= 10 and otherwise 10 - depth, with no additional non-trivial input-output fact in either contract.","gpt-5.4"
"22","22","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/22/foo37_c22.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/22/extracted_from_log.java","foo37_c22","func","","","1","equal","Both contracts have the same postconditions, specifying exactly that the result is -1 when size<0 and 1 when size>=0, and B's assigns \\nothing adds no stronger functional input-output information under the stated comparison rules.","gpt-5.4"
"17","17","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/17/foo9.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/17/extracted_from_log.java","foo9","foo17","","","1","equal","Both contracts characterize the same input-output relation—result is 0 exactly when index is out of [0,4) and 1 exactly when index is in [0,4)—and B's behavior partition with completeness/disjointness adds no extra functional information beyond A's two conditional ensures.","gpt-5.4"
"6","6","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/6/foo28_c6.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/6/extracted_from_log.java","foo28_c6","sum","","","1","B_stronger","A gives only trivial postconditions (ensures true) for unrelated functions, while B contains non-trivial logical content via predicates and loop invariants about array segments and merging behavior, so A's facts do not imply B's and B is strictly more informative.","gpt-5.4"
"50","50","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/50/foo162_c50.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/50/extracted_from_log.java","foo162_c50","foo181","","","1","incomparable","A has explicit postconditions precisely describing final i and j for both k<=0 and k>0, while B lacks any function postcondition but has strictly stronger loop invariants fixing i and j individually as functions of n and b, so neither contract implies the other.","gpt-5.4"
"35","35","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/35/foo39_c35.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/35/extracted_from_log.java","foo39_c35","fun","","","1","A_stronger","A strictly adds the non-trivial postconditions that the result is always true and that c equals (char)(input * 2 + 1), which together imply B's weaker boolean-range guarantee on the result.","gpt-5.4"
"2","2","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/2/foo22_c2.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/2/extracted_from_log.java","foo22_c2","fibonacci","","","1","B_stronger","For the relevant domain n>=0, B’s postcondition exactly fixes the result as fib(n), which implies all of A’s case-split ensures and nonnegativity clause, while A lacks an equally direct exact characterization over its whole admitted input range.","gpt-5.4"
"32","32","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/32/foo4_c32.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/32/extracted_from_log.java","foo4_c32","foo32","","","1","A_stronger","A fully determines the result from the input value (0 iff i==0.0, 1 otherwise), which implies B's weaker disjunction that the result is either 0 or 1, while B adds no non-trivial postcondition not already implied by A.","gpt-5.4"
"34","34","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/34/foo10_c34.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/34/extracted_from_log.java","foo10_c34","foo34","","","1","equal","Both contracts state the same behavior: division by zero returns the appropriate extreme bound by sign of numerator, and otherwise the result is exactly the signed quotient computed from absolute values, which is equivalent to plain integer division for this code.","gpt-5.4"
"31","31","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/31/foo3_c31.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/31/extracted_from_log.java","foo3_c31","foo31","","","1","equal","Both contracts state exactly the same two postconditions—result is 0 iff i==0 and 1 otherwise—and B's assigns \\nothing is ignored per the comparison instructions.","gpt-5.4"
"38","38","/home/yangfp/SESpec/RESULTS/paper_data_final/SESpec/gpt-5/38/foo117_c42.c","/home/yangfp/SESpec/RESULTS/paper_data_final/SpecGen/gpt-5/38/extracted_from_log.java","foo117_c42","foo136","","","1","B_stronger","B includes multiple non-trivial loop invariants relating the evolving state to the initial inputs, whereas A states only the vacuous postcondition and trivial loop invariant, so B strictly contains more informative behavioral facts.","gpt-5.4"
