baseline,model,sespec_case_id,baseline_case_id,sespec_path,baseline_path,sespec_func,baseline_func,signature,body_hash,case_id_aligned,coverage,pair_id,baseline_sha256,sespec_sha256,comparison_basis,A_parameter_count,A_contract_clause_count,A_nontrivial_contract_clause_count,A_invariant_count,A_nontrivial_invariant_count,B_parameter_count,B_contract_clause_count,B_nontrivial_contract_clause_count,B_invariant_count,B_nontrivial_invariant_count,status,verdict,elapsed_seconds,error_type,http_status
autospec,gpt-4o,1,1,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/1/foo1.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/1/SVCOMP_0002_merged.c,foo1,addition,,,1,ok,9ae5fbacbc325e56d0fa,0d40d68170e315b9e1fa4f6bc3055b2d16a03079faeee2f28165eaa8ec8f6758,7781188aa6ba9a22caf1d53ec6e441ff0e0adb0eebc9e384308ab22dd230bff2,contract,2,2,1,0,0,2,5,4,0,0,rated,equal,2.867,,
autospec,gpt-4o,2,2,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/2/foo2.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/2/SVCOMP_0081_merged.c,foo2,fibonacci,,,1,ok,8bec5c3dd7d46e1e0537,a10b1e9b699d55d5a812cdbd4b9f95b49a12f942ae40ac1330d8b5ece51028b5,d18228c092246d50e745a9b4c702030d6ec63ed55dc996416eec47d78109c118,contract,1,6,6,0,0,1,4,4,0,0,rated,B_stronger,2.892,,
autospec,gpt-4o,3,3,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/3/foo3.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/3/SVCOMP_0083_merged.c,foo3,gcd,,,1,ok,e4668a8025c80afaf08e,a4497bad44ad00822e70c8a32a8aedee2d86821970200f4c1df2966deb2385b1,d1b6ea5e5f11b6d6fcfe815aa69b8c2c649a7d988e144b0defb939af2700da1b,contract,2,2,2,0,0,2,6,6,0,0,rated,B_stronger,2.882,,
autospec,gpt-4o,4,4,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/4/foo25.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/4/SVCOMP_0084_merged.c,foo25,hanoi,,,1,ok,fd3c952bdcb730119b2a,a29b0cea9c00df0d1e2b85bc7dc79a0138c68503a21e0610189d415d59d0d377,e04c9cdb03472135c550722da03c0a2d27b1fe2f6bc4bf1464a7a871c325c66c,contract,1,3,3,0,0,4,4,4,0,0,rated,incomparable,2.218,,
autospec,gpt-4o,7,7,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/7/foo7.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/7/SVCOMP_0095_merged.c,foo7,mult,,,1,ok,a9aee08e95855059782c,3db11f38c1e084876915223e077047e9b0d6463a1e7e206a29f493a511234854,b14549390d1c315a29cfe324376f6d103a71443eafc72664e91e668507301dac,contract,2,8,8,0,0,2,4,4,0,0,rated,equal,2.366,,
autospec,gpt-4o,10,10,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/10/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/10/SVCOMP_0196_merged.c,foo10,recursion,,,1,ok,b7dd60055c95a691ee6d,03a156615fc7a8dec71f199d99d8afde39499fe54a20a407795c0ada984a7e14,2662147c2c943ee92324c7df9ff7d002e32fefb7f7193793cd7f42a36116177b,contract,1,7,6,0,0,1,4,4,0,0,rated,equal,2.568,,
autospec,gpt-4o,11,11,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/11/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/11/SVCOMP_0197_merged.c,foo10,recursion,,,1,ok,9fb76455b7619a3756bb,f7837f5df4af58c944c8dce9dde676bb68ae9b8e7888d10a120b50c28a729dda,2662147c2c943ee92324c7df9ff7d002e32fefb7f7193793cd7f42a36116177b,contract,1,6,5,0,0,1,4,4,0,0,rated,equal,2.533,,
autospec,gpt-4o,12,12,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/12/foo10.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/12/SVCOMP_0198_merged.c,foo10,recursion,,,1,ok,8f70501a61633425afde,53a237b5072c2d2da9fb980fa9dc1a43b33a3d6ac24955984169b29d40069b19,2662147c2c943ee92324c7df9ff7d002e32fefb7f7193793cd7f42a36116177b,contract,1,4,3,0,0,1,4,4,0,0,rated,A_stronger,2.853,,
autospec,gpt-4o,31,31,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/31/foo31.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/31/SVCOMP_0004_merged.c,foo31,arithmeticException1,,,1,ok,2fcf9b84102d1b665173,51c4e573035f3edaa07544027a62de0f20fcc71ee5f1f5f58be3a819b62ae66c,c202eaf636814d5ee7af1de9b60a663fe2493c7d018ffdca331430020a83dac4,contract,1,5,5,0,0,1,2,2,0,0,rated,B_stronger,3.103,,
autospec,gpt-4o,32,32,/home/yangfp/SESpec/RESULTS/paper_data/SESpec/gpt-4o/32/foo32.c,/home/yangfp/SESpec/RESULTS/paper_data/AutoSpec/gpt-4o/32/SVCOMP_0005_merged.c,foo32,arithmeticException5,,,1,ok,c3ee27865c454bd271cf,53df4cec6468033a156d3c4cd2dd932e1d6980391b46b979b50340940d163a43,d28f5900aab2d6673aa952421331222eed55d81216efd63a41ff6b99210f5f1a,contract,1,10,9,0,0,1,2,1,0,0,rated,incomparable,2.934,,
